"Brate, Cameron",14115,TB,9023,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brees, Drew",1937,NO,9026,QB,1,32,43,370,1,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breida, Matt",16140,SF,9027,RB,1,0,0,0,0,0,0,0,0,15,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brissett, Jacoby",15518,IND,9001,QB,1,21,27,190,0,2,0,2,17,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown, A.J.",17129,TEN,9007,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown, John",14125,BUF,9000,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,10,7,123,1,0,0,0,0,0,0,0,0,0,0,0,0
"Brown, Malcolm",14819,LAR,9025,RB,1,0,0,0,0,0,0,0,0,11,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown, Marquise",16886,BAL,9030,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,147,2,0,0,0,0,0,0,0,0,0,0,0,0
"Bullock, Randy",12435,CIN,9005,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,1,1,0,0,0
"Burkhead, Rex",13141,NE,9003,RB,1,0,0,0,0,0,0,0,0,8,44,0,0,8,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butker, Harrison",16093,KC,9010,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,2,1,1,0,0
"Byrd, Damiere",15457,ARI,9017,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cain, Deon",16511,IND,9001,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0
