Arizona,ARI,9017,7,133,161,2448,468,159,260,1769,13,19,138,42,189,679,3,30,80,8,105,1,7,7,0,0,1,0,3,38,306,12,14,12,13,145,41,93,11,37,91,2,5,200:05,1
Atlanta,ATL,9024,6,153,157,2198,377,144,220,1600,14,14,116,25,143,598,2,13,22,3,87,1,4,2,0,1,0,0,0,35,333,18,18,9,10,117,23,85,9,38,83,5,7,179:14,2
Baltimore,BAL,9030,7,150,148,2401,447,139,231,1671,11,25,167,32,191,730,1,15,32,4,38,1,8,5,0,0,0,0,0,49,411,15,15,15,17,116,31,74,11,36,105,1,4,211:14,1
Buffalo,BUF,9000,7,159,178,2663,511,151,274,1798,15,22,150,42,215,865,2,15,32,12,121,1,4,3,0,1,0,2,2,52,452,16,16,15,16,150,42,91,17,43,114,2,5,194:02,2
Carolina,CAR,9028,6,139,83,1813,361,140,205,1306,5,19,135,22,137,507,2,20,58,9,143,1,7,5,0,0,0,0,0,33,286,16,16,9,9,103,27,64,12,29,78,1,5,201:05,1
Chicago,CHI,9019,7,213,206,2737,441,152,229,1916,11,9,66,33,203,821,8,28,84,10,260,3,11,8,0,1,0,3,3,31,273,24,25,12,13,147,54,85,8,39,88,3,4,204:50,4
Cincinnati,CIN,9005,7,148,135,2340,469,157,272,1655,11,18,121,40,179,685,3,15,35,5,21,0,6,5,0,1,0,0,0,46,423,17,17,10,13,133,35,86,12,44,105,2,5,223:41,1
Cleveland,CLE,9006,7,131,156,2232,492,163,274,1539,9,20,95,38,198,693,9,16,26,5,126,1,4,4,0,0,0,0,0,51,476,14,14,11,13,144,39,88,17,48,106,2,5,202:13,1
Dallas,DAL,9014,7,200,155,2757,484,186,299,2043,14,20,140,37,165,714,3,13,33,9,147,2,7,6,0,1,0,1,3,49,408,22,24,11,13,162,40,104,18,37,96,4,8,217:29,3
Denver,DEN,9009,7,298,197,2779,472,173,289,2239,14,19,135,55,164,540,7,28,61,9,39,0,4,2,0,0,0,0,1,49,447,38,38,11,11,149,29,102,18,36,98,0,6,212:32,0
Detroit,DET,9020,7,186,167,2780,442,170,272,1974,10,13,108,44,157,806,5,16,41,10,138,1,4,3,0,1,0,0,1,49,430,22,22,11,14,142,28,99,15,26,87,4,5,221:18,2
Green Bay,GB,9021,6,168,127,2075,382,135,223,1601,12,20,119,28,139,474,3,17,51,3,17,0,6,4,0,1,0,0,0,41,363,18,18,14,16,111,26,76,9,32,87,5,11,182:46,1
Houston,HOU,9031,7,122,194,1874,394,100,171,1019,10,16,88,26,207,855,6,23,40,3,23,1,3,2,0,0,1,1,1,50,499,11,11,12,17,111,42,54,15,36,93,2,5,237:04,1
Indianapolis,IND,9001,7,187,131,2455,448,138,235,1599,8,21,99,39,192,856,5,14,30,8,81,1,6,5,0,0,1,1,2,28,227,19,20,15,17,137,43,84,10,32,92,4,8,212:44,1
Jacksonville,JAC,9029,7,76,222,2739,471,149,227,1667,15,11,59,29,233,1072,9,17,39,3,70,1,5,4,0,0,1,0,2,45,362,7,7,9,9,162,57,88,17,41,96,1,1,185:55,1
Kansas City,KC,9010,7,169,81,2132,446,134,250,1363,6,35,244,56,161,769,2,13,26,10,193,3,7,9,0,1,0,0,0,47,297,19,19,12,14,115,30,78,7,24,95,4,8,224:15,4
Miami,MIA,9002,6,135,140,2233,417,144,237,1616,8,17,109,31,163,617,5,15,33,7,25,1,5,3,0,0,0,0,0,25,212,15,15,10,12,125,36,81,8,34,88,2,5,164:47,1
Minnesota,MIN,9022,6,132,181,2347,434,165,252,1728,14,12,73,31,169,619,7,18,49,7,46,0,5,6,0,1,0,0,0,25,294,15,15,9,11,143,38,95,10,40,86,4,6,154:59,1
New England,NE,9003,7,152,127,2469,491,140,253,1579,7,18,123,30,220,890,4,15,36,8,99,1,7,5,0,0,0,0,0,33,342,14,14,18,19,142,45,87,10,43,109,1,7,208:38,1
New Orleans,NO,9026,6,161,103,2028,361,123,206,1344,7,20,148,24,135,684,4,12,20,8,108,0,5,4,0,0,0,0,0,30,233,17,17,14,16,113,33,73,7,25,71,1,5,201:16,0
New York Giants,NYG,9015,7,126,216,2554,500,171,288,1784,14,6,51,33,206,770,5,20,49,5,121,0,3,5,0,0,0,0,0,44,417,15,15,7,9,160,45,100,15,51,108,1,6,193:25,0
New York Jets,NYJ,9004,7,134,162,2118,463,157,266,1574,10,24,139,15,173,544,5,26,47,2,61,1,8,2,0,0,1,0,0,64,474,12,12,16,16,119,23,77,19,37,109,2,5,224:54,1
Oakland,OAK,9011,6,105,132,2038,382,142,208,1446,9,16,113,16,158,592,5,14,32,3,39,0,7,6,0,1,0,0,0,44,336,12,12,7,11,122,34,79,9,31,77,1,4,184:38,1
Philadelphia,PHI,9016,7,169,196,2889,509,196,310,2181,14,15,101,39,184,708,5,11,23,8,60,0,3,4,0,0,1,0,1,47,401,18,18,14,18,174,39,122,13,39,95,2,6,182:01,0
Pittsburg,PIT,9008,6,107,132,1841,371,115,188,1185,5,8,43,23,175,656,6,11,22,2,36,0,3,0,0,0,1,0,0,31,284,9,9,14,14,107,42,56,9,32,83,3,4,182:06,0
San Diego,SD,9012,7,168,144,2650,419,166,245,1912,10,20,148,27,154,738,2,4,13,3,28,0,4,1,0,0,0,0,0,41,333,18,18,14,16,139,37,95,7,29,80,3,7,233:07,0
Seattle,SEA,9013,7,191,116,1965,436,141,241,1334,6,23,166,39,172,631,4,18,40,11,206,1,8,8,0,0,2,0,1,55,499,19,20,16,17,129,34,80,15,34,93,3,6,223:44,1
San Francisco,SF,9027,7,176,135,2283,451,137,245,1536,9,17,112,39,189,747,7,13,29,9,112,1,5,6,0,1,1,0,0,51,433,21,21,9,12,127,39,73,15,33,98,3,6,213:25,2
St. Louis,STL,9025,7,156,184,2614,444,149,217,1729,12,18,107,28,209,885,7,27,51,5,214,2,10,7,0,1,1,2,2,50,430,17,17,11,11,148,44,89,15,36,88,3,6,199:54,3
Tampa Bay,TB,9023,6,87,132,2045,383,138,216,1512,11,14,108,25,153,533,1,19,39,6,95,1,6,4,0,0,0,0,0,54,516,9,9,8,10,117,29,71,17,29,80,1,3,187:41,1
Tennessee,TEN,9007,7,145,146,2360,443,146,230,1539,6,20,124,33,193,821,8,14,49,6,98,1,7,7,0,2,0,0,0,53,455,16,16,11,14,137,46,77,14,31,93,2,3,207:06,3
Washington,WAS,9018,6,152,184,2334,380,130,199,1577,11,18,120,21,163,757,9,15,45,4,95,3,5,5,0,1,0,0,2,43,378,17,19,7,10,131,46,76,9,27,75,4,5,182:10,4
