Arizona,ARI,9017,3,56,79,1111,193,80,120,891,7,5,28,16,68,220,1,13,36,2,2,1,2,2,0,0,0,0,1,16,126,5,6,5,6,63,17,42,4,14,35,0,1,87:13,1
Atlanta,ATL,9024,3,71,74,1125,194,82,125,888,7,7,57,15,62,237,1,6,11,3,87,1,2,1,0,0,0,0,0,16,131,8,8,5,6,58,8,48,2,20,42,2,3,92:15,1
Baltimore,BAL,9030,3,71,64,1033,191,74,114,809,7,11,80,16,66,224,0,6,12,1,37,1,1,2,0,0,0,0,0,20,181,8,8,5,7,55,8,42,5,15,42,0,3,93:47,1
Buffalo,BUF,9000,3,65,73,1252,235,66,119,787,6,8,61,17,108,465,1,6,11,4,46,0,1,2,0,1,0,2,2,24,217,6,6,7,8,71,22,41,8,23,50,0,2,74:23,1
Carolina,CAR,9028,3,68,36,956,184,66,99,677,2,10,74,10,75,279,1,11,37,3,6,0,3,3,0,0,0,0,0,11,108,8,8,4,4,52,16,31,5,15,39,0,1,100:14,0
Chicago,CHI,9019,3,95,74,1149,184,68,104,883,5,5,32,18,75,266,1,10,38,5,136,2,6,6,0,1,0,0,0,11,119,11,12,4,4,58,18,36,4,17,38,2,3,93:40,3
Cincinnati,CIN,9005,3,75,64,1000,193,67,113,693,4,6,44,18,74,307,2,6,15,4,21,0,2,3,0,1,0,0,0,22,211,10,10,2,3,58,17,35,6,13,39,1,3,92:13,1
Cleveland,CLE,9006,3,47,64,900,215,71,113,647,2,12,64,13,90,253,5,9,15,2,42,0,3,3,0,0,0,0,0,19,137,5,5,4,4,58,15,39,4,24,49,0,0,85:30,0
Dallas,DAL,9014,3,83,55,1023,191,77,127,824,7,13,89,14,51,199,0,3,7,3,62,1,3,4,0,1,0,0,1,16,139,8,9,7,8,57,12,41,4,11,37,3,6,102:25,2
Denver,DEN,9009,3,127,71,1111,207,83,142,981,5,8,59,31,57,130,3,13,30,6,29,0,1,0,0,0,0,0,0,26,233,16,16,5,5,65,8,44,13,14,45,0,3,89:38,0
Detroit,DET,9020,3,82,69,1098,193,73,118,786,2,6,41,21,69,312,4,8,23,5,94,1,1,2,0,0,0,0,0,27,260,10,10,4,6,67,12,45,10,9,34,1,2,93:48,1
Green Bay,GB,9021,3,96,88,1213,189,73,107,933,8,7,34,14,75,280,3,8,26,2,6,0,3,3,0,1,0,0,0,13,139,12,12,4,4,60,14,44,2,16,40,2,3,85:45,1
Houston,HOU,9031,3,70,82,747,175,47,83,473,6,8,41,15,84,274,1,12,15,1,18,1,1,0,0,0,1,1,1,26,226,7,7,4,8,44,13,24,7,19,46,1,2,100:21,1
Indianapolis,IND,9001,3,68,48,1024,182,55,90,637,2,9,49,16,83,387,4,5,13,3,29,0,3,2,0,0,0,0,0,7,54,8,8,4,6,55,22,32,1,16,39,2,3,94:12,0
