Jacksonville,JAC,9029,3,28,92,1110,191,57,87,608,7,6,22,8,98,502,3,12,22,1,10,0,3,2,0,0,1,0,1,19,145,3,3,2,2,61,24,32,5,13,39,0,0,84:07,0
Kansas City,KC,9010,3,71,34,927,194,62,113,555,2,15,101,23,66,372,1,5,9,4,76,2,3,5,0,0,0,0,0,22,130,8,8,5,7,53,14,35,4,11,40,0,2,98:50,2
Miami,MIA,9002,3,74,53,1116,212,74,134,790,4,9,51,21,69,326,1,3,5,5,0,0,2,1,0,0,0,0,0,12,90,8,8,6,6,67,20,43,4,13,40,2,5,85:04,0
Minnesota,MIN,9022,3,81,96,1289,218,86,136,942,9,4,34,17,77,347,2,9,24,6,46,0,3,4,0,1,0,0,0,12,112,9,9,6,6,75,22,49,4,18,40,2,4,84:15,1
New England,NE,9003,3,59,34,927,198,52,103,565,2,7,35,13,88,362,1,4,10,4,14,0,4,3,0,0,0,0,0,13,116,5,5,8,9,48,16,28,4,15,45,0,4,96:44,0
New Orleans,NO,9026,3,70,38,887,166,52,95,553,3,8,63,11,63,334,1,5,7,4,80,0,3,2,0,0,0,0,0,15,122,7,7,7,8,48,16,29,3,13,37,0,1,103:18,0
New York Giants,NYG,9015,3,54,115,1147,220,81,119,759,7,3,34,13,98,388,4,7,19,2,100,0,3,2,0,0,0,0,0,16,113,6,6,4,5,72,23,46,3,21,44,1,2,78:01,0
New York Jets,NYJ,9004,3,55,50,810,197,53,111,571,3,12,67,4,74,239,1,13,23,1,38,0,3,1,0,0,1,0,0,34,279,5,5,6,6,39,7,23,9,14,51,0,2,100:35,0
Oakland,OAK,9011,3,57,67,1056,188,75,98,733,6,10,60,9,80,323,2,5,18,0,0,0,2,2,0,0,0,0,0,21,158,6,6,5,7,64,19,41,4,18,36,1,2,89:11,0
Philadelphia,PHI,9016,3,79,86,1315,227,88,131,969,5,9,52,15,87,346,2,5,11,2,1,0,3,3,0,0,1,0,1,23,187,9,9,5,7,77,20,53,4,18,43,1,4,73:15,0
Pittsburg,PIT,9008,3,42,76,894,202,56,95,548,2,3,16,11,104,346,4,7,15,0,0,0,1,0,0,0,1,0,0,13,135,4,4,4,4,54,24,25,5,18,47,2,3,78:49,0
San Diego,SD,9012,3,78,81,1412,201,80,119,1022,6,6,51,14,76,390,2,1,5,1,0,0,1,0,0,0,0,0,0,16,132,9,9,5,6,71,21,48,2,17,38,2,4,92:08,0
Seattle,SEA,9013,3,86,27,715,166,47,89,440,1,7,47,15,70,275,2,9,20,5,101,0,3,5,0,0,1,0,1,23,217,9,10,5,5,45,16,24,5,12,37,1,2,99:32,0
San Francisco,SF,9027,3,44,84,1011,195,46,82,592,4,7,42,13,106,419,6,7,20,2,1,0,1,1,0,0,0,0,0,29,254,5,5,3,4,65,24,30,11,14,38,1,2,85:27,0
St. Louis,STL,9025,3,58,86,1179,190,76,107,864,7,7,47,13,76,315,2,10,22,1,29,0,4,2,0,0,0,1,1,19,153,6,6,5,5,65,14,48,3,19,38,0,0,84:50,0
Tampa Bay,TB,9023,3,34,57,1033,215,75,121,712,4,12,91,15,82,321,0,9,12,4,92,1,3,1,0,0,0,0,0,27,268,4,4,2,4,64,16,37,11,18,47,1,3,82:01,1
Tennessee,TEN,9007,3,60,56,924,184,67,105,618,5,9,55,17,70,306,2,6,19,3,55,1,0,2,0,0,0,0,0,26,246,6,6,6,8,58,14,38,6,13,39,1,1,96:53,1
Washington,WAS,9018,3,67,98,1464,213,74,109,999,8,8,69,9,96,465,4,10,29,1,17,1,3,3,0,1,0,0,2,23,198,7,9,2,4,78,28,47,3,15,38,3,3,86:04,2
