Arizona,ARI,9017,1,24,27,366,62,27,38,299,2,0,0,6,24,67,0,3,6,1,2,1,2,1,0,0,0,0,0,6,68,3,3,1,2,20,4,14,2,4,11,0,0,31:25,1
Atlanta,ATL,9024,1,17,23,419,66,26,35,341,2,2,16,4,29,78,0,4,9,1,0,0,0,0,0,0,0,0,0,2,19,2,2,1,1,18,1,17,0,6,13,0,1,24:49,0
Baltimore,BAL,9030,1,27,49,510,68,27,42,445,7,3,17,5,23,65,0,2,3,0,0,0,1,2,0,0,0,0,0,7,53,3,3,2,2,24,2,20,2,8,15,0,0,33:48,0
Buffalo,BUF,9000,1,21,23,431,89,29,52,273,2,2,15,7,35,158,0,3,4,1,0,0,1,2,0,1,0,0,0,10,75,3,3,0,0,26,7,18,1,11,20,0,1,22:17,1
Carolina,CAR,9028,1,7,12,370,61,25,33,300,1,2,20,2,26,70,0,3,9,0,0,0,1,1,0,0,0,0,0,4,46,1,1,0,0,18,4,13,1,6,13,0,0,29:46,0
Chicago,CHI,9019,1,24,21,340,55,26,33,277,2,1,5,5,21,63,1,4,13,2,41,0,2,1,0,0,0,0,0,4,59,3,3,1,1,18,5,12,1,7,11,0,0,31:30,0
Cincinnati,CIN,9005,1,21,24,323,61,21,33,242,2,0,0,5,28,81,1,3,5,1,12,0,0,0,0,0,0,0,0,8,84,3,3,0,0,17,4,12,1,6,14,1,1,28:30,0
Cleveland,CLE,9006,1,10,23,275,65,24,38,255,1,4,17,6,23,20,1,6,10,1,29,0,0,0,0,0,0,0,0,9,57,1,1,1,1,18,1,15,2,8,16,0,0,27:13,0
Dallas,DAL,9014,1,36,31,478,59,27,42,428,4,3,22,6,14,50,0,0,0,3,62,1,2,3,0,1,0,0,1,5,40,3,4,3,3,21,3,18,0,6,11,0,0,37:10,2
Denver,DEN,9009,1,49,27,393,87,34,62,335,2,4,27,14,21,58,1,4,6,2,29,0,1,0,0,0,0,0,0,8,61,7,7,0,0,24,3,18,3,8,22,0,1,26:12,0
Detroit,DET,9020,1,34,24,330,53,18,28,225,1,3,11,7,22,105,2,5,15,3,24,0,0,1,0,0,0,0,0,11,88,4,4,2,2,16,3,11,2,2,10,1,2,36:19,0
Green Bay,GB,9021,1,28,34,494,75,27,39,404,3,2,8,4,34,90,1,6,21,0,0,0,0,0,0,0,0,0,0,5,44,4,4,0,0,23,6,17,0,9,18,1,1,21:25,0
Houston,HOU,9031,1,31,28,263,51,14,29,183,4,2,12,7,20,80,0,1,1,1,18,1,0,0,0,0,0,0,0,7,73,4,4,1,2,14,2,11,1,7,14,1,1,36:31,1
Indianapolis,IND,9001,1,21,17,372,63,19,29,201,1,1,16,4,33,171,1,1,3,2,28,0,0,0,0,0,0,0,0,3,31,3,3,0,0,20,9,10,1,7,13,1,1,27:13,0
Jacksonville,JAC,9029,1,2,28,291,63,21,34,171,2,1,2,3,28,120,1,1,1,0,0,0,0,0,0,0,1,0,0,5,30,0,0,0,0,17,7,10,0,5,15,0,0,28:30,0
Kansas City,KC,9010,1,28,2,178,70,19,41,107,0,6,50,7,23,71,0,1,1,2,42,1,0,0,0,0,0,0,0,3,20,4,4,0,0,12,3,9,0,5,19,0,1,31:30,1
