Arizona,ARI,9017,5,91,95,1717,335,125,202,1322,8,14,98,28,119,395,1,24,63,7,105,1,3,4,0,0,1,0,1,29,246,8,9,9,10,104,26,70,8,26,65,1,3,142:04,1
Atlanta,ATL,9024,5,122,134,1861,302,118,176,1374,12,11,86,19,115,487,2,10,18,3,87,1,2,1,0,0,0,0,0,26,232,14,14,8,9,94,18,72,4,33,66,2,4,157:03,1
Baltimore,BAL,9030,5,117,110,1677,327,105,176,1228,9,19,135,26,132,449,1,11,26,3,38,1,5,3,0,0,0,0,0,34,304,12,12,11,13,84,18,58,8,23,76,1,4,153:37,1
Buffalo,BUF,9000,5,112,130,1887,363,106,197,1307,9,17,110,31,149,580,2,10,22,9,58,0,3,2,0,1,0,2,2,42,372,11,11,11,12,105,28,65,12,33,83,1,3,138:26,1
Carolina,CAR,9028,4,74,58,1206,242,85,127,837,3,12,89,14,103,369,2,13,40,6,36,0,3,3,0,0,0,0,0,20,187,8,8,6,6,71,22,40,9,19,51,0,1,131:18,0
Chicago,CHI,9019,5,145,140,1883,315,120,174,1394,8,7,51,22,134,489,3,19,57,6,144,2,11,8,0,1,0,3,3,21,192,16,17,8,8,98,33,60,5,25,64,3,4,145:51,3
Cincinnati,CIN,9005,5,94,87,1584,324,110,189,1106,6,13,97,24,122,478,2,10,28,5,21,0,5,4,0,1,0,0,0,32,295,11,11,6,7,91,24,58,9,23,69,1,3,155:20,1
Cleveland,CLE,9006,5,101,94,1509,354,113,195,1038,2,18,88,30,141,471,8,12,20,4,91,1,4,4,0,0,0,0,0,30,283,11,11,8,10,94,26,59,9,33,79,2,5,149:02,1
Dallas,DAL,9014,5,152,136,2046,334,145,211,1632,14,14,96,21,109,414,2,8,20,5,114,2,5,5,0,1,0,1,3,30,253,16,18,9,11,118,26,81,11,25,62,3,6,155:48,3
Denver,DEN,9009,5,230,139,2083,330,125,209,1735,11,15,108,35,106,348,5,18,42,7,29,0,2,1,0,0,0,0,0,33,313,29,29,9,9,110,20,76,14,26,67,0,3,155:34,0
Detroit,DET,9020,5,131,123,1964,323,120,195,1341,5,10,77,33,118,623,5,12,33,8,138,1,3,3,0,1,0,0,1,37,335,15,15,9,11,101,19,69,13,17,63,3,4,153:18,2
Green Bay,GB,9021,4,118,97,1499,253,98,147,1155,9,12,74,17,94,344,3,10,33,2,6,0,4,3,0,1,0,0,0,23,211,13,13,9,9,79,19,56,4,23,55,2,4,118:04,1
Houston,HOU,9031,5,93,139,1301,285,65,121,671,7,14,79,22,150,630,4,21,36,2,19,1,2,1,0,0,1,1,1,39,364,9,9,7,12,76,30,35,11,26,71,2,4,174:06,1
Indianapolis,IND,9001,5,139,79,1652,303,87,153,1007,4,15,68,29,135,645,4,9,23,7,77,1,4,3,0,0,0,1,2,17,147,15,16,9,11,90,33,52,5,20,62,3,7,159:28,1
Jacksonville,JAC,9029,5,51,163,1898,333,99,159,1096,12,10,50,23,164,802,4,13,26,2,11,0,4,2,0,0,1,0,1,32,255,5,5,5,5,109,39,60,10,27,71,0,0,132:10,0
Kansas City,KC,9010,5,128,58,1564,321,101,191,989,4,21,131,40,109,575,2,9,18,7,128,2,5,8,0,1,0,0,0,38,253,14,14,10,12,83,21,55,7,16,68,3,7,166:03,3
Miami,MIA,9002,5,114,117,1965,351,123,205,1438,8,13,85,29,133,527,4,11,23,6,25,1,4,3,0,0,0,0,0,21,180,12,12,10,11,110,30,73,7,25,69,2,5,134:59,1
Minnesota,MIN,9022,4,115,123,1723,295,122,187,1299,10,9,60,22,98,424,4,9,24,7,46,0,4,5,0,1,0,0,0,17,201,13,13,8,9,104,27,70,7,26,55,2,4,107:48,1
New England,NE,9003,5,95,70,1725,339,106,184,1143,4,13,90,20,142,582,2,7,19,6,15,0,6,4,0,0,0,0,0,22,209,8,8,13,14,95,27,61,7,27,74,1,7,153:07,0
New Orleans,NO,9026,5,134,73,1652,278,98,163,1109,6,15,114,21,100,543,2,8,11,7,108,0,5,4,0,0,0,0,0,23,177,14,14,12,14,87,25,58,4,20,56,0,2,173:07,0
New York Giants,NYG,9015,5,82,182,1976,367,127,199,1346,12,5,37,23,163,630,5,17,44,4,96,0,3,3,0,0,0,0,0,35,314,10,10,4,6,121,37,73,11,39,79,1,2,129:58,0
New York Jets,NYJ,9004,5,98,116,1495,332,111,189,1114,9,16,92,8,127,381,3,23,40,1,38,0,5,2,0,0,1,0,0,50,369,9,9,11,11,82,14,54,14,30,81,1,4,154:30,0
Oakland,OAK,9011,5,98,108,1822,321,128,177,1341,9,13,90,15,131,481,3,13,30,3,39,0,4,5,0,1,0,0,0,33,268,11,11,7,10,106,27,72,7,27,63,1,4,150:38,1
Philadelphia,PHI,9016,5,135,159,2170,368,142,220,1630,11,11,62,27,137,540,4,10,21,5,19,0,3,4,0,0,1,0,1,39,337,14,14,12,15,133,34,89,10,28,64,1,4,132:00,0
Pittsburg,PIT,9008,4,69,110,1287,253,72,120,796,4,4,16,15,129,491,6,8,17,0,0,0,2,0,0,0,1,0,0,17,185,7,7,6,6,70,31,32,7,22,58,2,3,115:16,0
San Diego,SD,9012,5,125,129,2030,312,125,179,1444,10,13,96,20,120,586,2,3,12,1,0,0,4,1,0,0,0,0,0,28,247,14,14,9,11,109,29,74,6,24,59,2,4,157:06,0
Seattle,SEA,9013,5,137,81,1508,314,94,167,973,5,13,98,25,134,535,3,14,32,7,159,1,6,8,0,0,2,0,1,39,364,13,14,12,13,94,29,56,9,25,66,1,2,162:42,1
San Francisco,SF,9027,5,113,98,1512,331,87,163,944,5,13,80,30,155,568,6,13,29,6,38,1,3,3,0,0,0,0,0,42,356,14,14,5,8,96,31,51,14,23,71,3,5,143:20,1
St. Louis,STL,9025,5,103,141,1912,314,107,162,1282,11,11,66,23,141,630,5,18,37,3,111,1,8,5,0,0,0,2,2,33,288,11,11,8,8,100,27,67,6,28,65,1,3,148:24,1
Tampa Bay,TB,9023,4,44,70,1329,274,96,159,952,5,13,99,22,102,377,0,11,17,6,95,1,5,2,0,0,0,0,0,35,341,5,5,3,5,81,20,48,13,19,57,1,3,116:06,1
Tennessee,TEN,9007,5,115,95,1607,313,110,178,1090,6,16,117,28,119,517,3,10,36,6,98,1,3,5,0,1,0,0,0,36,311,13,13,8,11,94,26,59,9,18,64,1,2,156:14,2
Washington,WAS,9018,4,91,112,1762,278,95,141,1193,9,15,102,12,122,569,4,11,30,2,62,2,5,5,0,1,0,0,2,26,227,10,12,3,5,92,31,58,3,20,55,4,5,113:42,3
