Arizona,ARI,9017,10,214,212,3249,674,242,406,2435,18,28,229,68,240,814,4,35,92,14,164,1,8,8,0,1,1,0,3,56,429,21,23,18,19,196,47,134,15,53,141,5,11,292:47,2
Atlanta,ATL,9024,10,214,292,3819,633,219,326,2492,21,21,163,35,286,1327,8,25,59,6,88,1,6,2,0,1,0,1,1,60,507,24,24,15,16,210,59,130,21,61,133,7,10,288:24,2
Baltimore,BAL,9030,10,208,212,3399,661,206,350,2372,17,35,216,57,276,1027,1,22,50,7,84,1,10,6,0,0,0,1,1,71,602,21,21,20,22,174,47,108,19,50,152,6,11,307:40,1
Buffalo,BUF,9000,11,236,273,3826,752,226,396,2519,22,36,252,58,320,1307,4,24,54,16,219,2,7,4,0,1,0,2,2,76,639,24,24,22,24,217,64,128,25,63,170,4,8,310:12,3
Carolina,CAR,9028,10,238,135,2940,596,230,345,2095,8,31,227,42,220,845,3,28,76,14,184,2,10,9,0,0,0,0,0,51,432,28,28,14,15,172,44,107,21,44,125,2,8,333:20,2
Chicago,CHI,9019,10,282,267,3730,632,199,316,2391,15,17,113,46,299,1339,11,39,104,14,333,4,14,8,0,1,0,3,4,53,468,30,32,19,20,208,78,114,16,53,127,4,7,300:12,5
Cincinnati,CIN,9005,11,275,206,3444,745,247,429,2322,14,34,226,73,282,1122,4,21,46,12,132,2,10,8,0,2,0,0,0,70,729,33,33,15,19,196,52,121,23,60,168,3,10,356:00,4
Cleveland,CLE,9006,10,192,238,3065,689,225,379,2075,16,31,152,55,279,990,9,24,43,8,170,2,4,5,0,0,0,0,0,71,641,21,21,15,17,192,55,116,21,66,155,3,6,289:22,2
Dallas,DAL,9014,10,274,258,4398,710,278,425,3130,20,24,169,52,261,1268,11,21,54,12,236,2,11,10,0,2,0,1,3,67,566,30,32,17,19,253,74,154,25,54,132,8,14,291:19,4
Denver,DEN,9009,10,398,255,3718,683,233,402,2791,18,29,211,82,252,927,9,33,74,13,136,1,7,4,0,0,0,0,1,71,614,51,51,14,15,215,49,138,28,53,141,1,8,296:22,1
Detroit,DET,9020,10,265,253,3784,642,240,396,2838,19,16,129,58,230,946,5,31,78,11,138,1,4,3,0,1,0,0,1,70,587,32,32,14,18,198,36,140,22,42,133,6,8,312:38,2
Green Bay,GB,9021,10,258,239,3509,621,208,338,2471,18,31,173,37,252,1038,8,26,70,4,27,0,7,5,0,1,0,0,0,57,552,27,27,23,27,189,60,114,15,48,134,8,14,309:41,1
Houston,HOU,9031,10,193,276,2861,579,156,275,1675,18,23,141,39,281,1186,7,27,47,4,23,1,5,4,0,0,1,1,1,71,688,19,19,17,26,159,55,85,19,48,134,2,5,330:37,1
Indianapolis,IND,9001,10,252,220,3650,625,189,313,2389,14,26,128,46,286,1261,8,24,51,8,81,1,6,7,0,0,1,3,5,38,313,25,27,20,23,191,61,117,13,51,132,4,10,298:17,1
Jacksonville,JAC,9029,10,129,318,3915,665,216,328,2525,20,15,85,44,322,1390,15,26,70,4,87,1,9,8,0,1,2,0,2,61,497,13,13,12,13,225,78,126,21,62,139,3,3,270:57,2
Kansas City,KC,9010,10,232,138,3369,651,198,365,2198,10,36,254,70,250,1171,4,20,36,12,294,4,8,12,0,2,0,0,0,66,419,25,25,19,22,177,51,114,12,37,136,5,12,320:13,6
Miami,MIA,9002,10,213,225,3649,695,222,367,2423,11,30,193,51,298,1226,10,26,58,13,164,2,6,4,0,0,1,0,1,41,383,22,23,17,22,212,69,127,16,53,141,4,7,281:54,2
Minnesota,MIN,9022,10,240,320,3917,697,261,390,2796,23,22,144,38,284,1121,11,32,92,8,47,0,6,6,0,1,0,0,0,41,465,27,28,15,17,232,68,150,14,71,145,7,10,263:40,1
New England,NE,9003,10,254,199,3549,697,209,371,2292,16,32,211,46,294,1257,4,21,43,12,143,1,9,7,0,0,0,0,0,46,457,26,26,24,25,209,66,130,13,64,150,3,12,293:13,1
New Orleans,NO,9026,10,288,183,3054,586,181,320,1914,11,32,207,51,234,1140,8,26,48,10,163,0,8,6,0,0,0,0,0,57,443,33,33,19,25,168,53,104,11,40,122,1,6,337:29,0
New York Giants,NYG,9015,10,192,256,3362,667,229,383,2382,14,14,103,48,270,980,7,28,66,11,221,1,7,7,0,0,0,0,0,59,589,21,21,15,17,203,59,127,17,58,140,1,9,298:46,1
New York Jets,NYJ,9004,10,183,268,3240,652,226,375,2508,19,28,157,30,249,732,6,34,74,5,67,1,9,2,0,0,1,0,0,80,629,16,16,23,24,176,35,118,23,54,150,4,10,314:57,1
Oakland,OAK,9011,10,194,246,3501,643,232,355,2523,19,28,195,30,260,978,7,30,68,7,83,1,12,9,0,1,0,0,0,74,587,23,23,11,16,196,57,125,14,48,132,1,5,312:02,2
Philadelphia,PHI,9016,11,276,260,4597,824,296,484,3301,17,24,171,74,316,1296,7,20,39,13,166,0,6,6,0,1,1,0,1,72,634,32,32,17,22,265,73,172,20,68,165,3,11,277:56,1
Pittsburg,PIT,9008,10,216,245,3408,638,189,325,2156,12,18,109,44,295,1252,13,20,34,6,120,0,7,4,0,0,1,1,1,52,457,21,21,22,24,190,73,101,16,53,139,5,10,310:49,0
San Diego,SD,9012,10,228,222,3890,609,236,348,2755,15,26,194,39,235,1135,7,9,21,5,28,1,5,2,0,0,0,0,0,64,512,24,24,20,23,209,60,139,10,46,115,3,7,328:32,1
Seattle,SEA,9013,11,306,179,3216,696,215,367,1984,12,33,223,55,296,1232,4,23,53,16,293,2,11,10,0,0,2,0,1,87,825,32,33,24,25,211,66,116,29,56,148,4,9,337:08,2
San Francisco,SF,9027,10,247,178,3238,654,212,365,2198,11,22,152,58,267,1040,9,19,36,11,175,1,8,10,0,2,1,0,0,64,538,29,29,14,17,185,57,109,19,50,143,6,12,295:12,3
