Arizona,ARI,9017,6,140,119,2144,370,147,225,1709,10,7,57,22,138,435,4,15,27,8,103,1,1,3,0,0,0,0,3,40,296,11,14,15,15,120,26,71,23,38,87,1,2,182:59,1,1904,380,119,209,1353,9,11,74,160,551,3,17,43
Atlanta,ATL,9024,7,171,199,2885,466,147,225,1921,8,7,49,25,234,964,13,15,36,4,44,1,3,8,0,0,0,0,0,48,461,21,21,8,10,144,36,99,9,37,90,3,9,196:57,1,2714,449,181,282,2027,13,15,115,152,687,6,11,21
Baltimore,BAL,9030,7,193,104,2421,450,171,271,1809,7,15,121,38,164,612,3,15,46,4,65,0,5,6,0,0,1,0,1,38,314,21,21,15,18,160,57,84,19,39,89,4,8,212:41,0,2710,458,156,245,1790,14,8,64,205,920,7,19,36
Buffalo,BUF,9000,7,135,142,2296,452,168,254,1733,12,24,130,33,174,563,0,22,47,8,78,0,4,4,0,0,0,2,2,61,527,13,13,14,16,123,27,86,10,37,100,2,5,206:18,0,2335,450,161,256,1611,10,19,117,175,724,2,16,45
Carolina,CAR,9028,7,158,195,2718,444,173,247,1755,15,15,109,27,182,963,8,18,36,7,151,0,7,5,0,0,0,1,2,44,424,16,17,13,15,153,34,101,18,40,95,4,5,216:10,0,2394,458,165,263,1765,12,16,131,179,629,4,23,52
Chicago,CHI,9019,7,157,171,2492,427,148,231,1733,12,19,109,30,177,759,5,13,25,8,103,1,7,4,0,0,0,1,1,48,384,19,19,8,9,152,43,90,19,39,87,4,7,217:13,1,2445,443,178,264,1778,14,17,97,162,667,4,16,29
Cincinnati,CIN,9005,6,134,140,2500,454,155,263,1622,8,10,59,40,181,878,6,9,25,7,73,0,2,3,0,0,1,1,1,39,326,14,14,11,17,116,38,62,16,24,73,0,3,169:04,0,2120,367,127,198,1451,7,6,34,163,669,7,9,22
Cleveland,CLE,9006,6,140,139,2382,409,129,211,1449,9,12,55,27,186,933,7,10,22,7,115,1,0,1,0,0,1,0,1,45,363,15,16,9,11,124,44,70,10,26,78,2,7,169:27,1,2182,395,107,192,1389,7,9,58,194,793,8,25,72
Dallas,DAL,9014,7,196,147,2404,397,147,229,1613,11,7,17,40,161,791,4,12,17,7,24,1,5,5,0,0,0,0,0,42,310,22,22,14,15,162,58,89,15,54,94,1,1,242:05,1,2815,461,148,214,1697,14,12,92,235,1118,7,20,46
Denver,DEN,9009,6,189,121,1901,408,148,253,1455,9,21,135,39,134,446,5,15,27,5,55,1,3,1,0,0,1,1,1,48,411,24,24,6,7,131,31,90,10,35,79,1,1,180:42,1,2364,385,149,218,1793,19,8,55,159,571,4,15,29
Detroit,DET,9020,7,140,105,2032,430,154,252,1518,7,22,135,31,156,514,3,27,70,8,157,1,5,3,0,1,1,1,1,46,364,17,17,6,16,131,31,86,14,42,102,2,4,232:11,2,2325,461,159,252,1748,9,24,143,185,577,6,16,37
Green Bay,GB,9021,7,199,147,2538,485,144,243,1504,9,16,88,41,226,1034,7,14,42,10,201,1,5,4,0,0,0,1,2,39,303,25,25,8,9,143,39,89,15,37,83,1,3,196:31,1,2278,410,144,218,1587,18,17,109,175,691,6,15,34
Houston,HOU,9031,7,155,150,2712,481,175,270,1881,13,13,70,34,198,831,4,21,58,6,163,1,9,9,0,1,0,0,0,40,381,17,17,12,14,128,41,72,15,32,88,4,6,208:17,2,2415,417,126,193,1512,8,11,28,213,903,6,16,33
Indianapolis,IND,9001,7,216,136,2178,399,130,231,1501,8,21,122,41,147,677,7,11,23,6,83,1,5,6,0,0,0,0,1,51,440,24,25,14,14,187,44,129,14,43,97,3,7,258:30,1,3171,538,201,306,2307,19,11,44,221,864,5,22,38
Jacksonville,JAC,9029,7,105,191,2733,495,172,268,1961,12,22,137,18,205,772,5,25,44,2,15,0,6,5,0,0,0,0,0,31,240,12,12,7,10,124,39,73,12,34,94,1,5,191:07,0,2076,434,156,252,1474,8,29,181,153,602,4,12,22
Kansas City,KC,9010,6,142,121,1960,356,115,190,1254,11,17,94,28,149,706,0,12,23,3,85,1,5,1,0,0,0,0,1,29,247,17,17,8,10,128,35,81,12,41,81,2,4,191:35,1,2040,388,119,186,1198,9,16,72,186,842,7,11,29
Miami,MIA,9002,6,147,138,1882,404,137,227,1280,11,17,86,27,160,602,4,10,22,4,156,0,8,7,0,1,1,0,0,30,255,16,16,11,14,133,41,82,10,29,76,3,10,179:06,1,2159,402,138,218,1341,10,14,82,170,818,5,14,33
Minnesota,MIN,9022,7,120,160,2365,439,155,231,1538,12,20,121,26,188,827,6,8,19,6,87,1,5,3,0,0,0,1,1,50,403,11,11,14,16,125,40,70,15,32,96,2,5,208:13,1,2164,444,132,228,1287,4,27,172,189,877,6,18,47
New England,NE,9003,7,187,154,2340,448,140,229,1456,11,18,120,22,201,884,4,11,25,7,61,0,7,7,0,1,0,0,0,63,590,19,19,18,19,138,36,87,15,40,102,3,7,204:40,1,2418,460,157,253,1695,14,14,80,193,723,3,15,27
New Orleans,NO,9026,6,155,165,2242,381,140,215,1623,11,9,42,24,157,619,6,15,33,3,45,0,2,1,0,0,1,0,1,33,300,15,17,10,11,162,48,96,18,37,74,2,4,187:17,0,2622,419,178,263,1884,11,6,32,150,738,7,13,38
New York Giants,NYG,9015,7,154,169,2685,435,143,231,1837,10,13,75,45,191,848,8,15,26,11,185,0,4,2,0,0,0,0,0,43,322,19,19,7,7,151,46,85,20,40,95,3,7,211:57,0,2329,458,150,230,1534,14,15,99,213,795,5,14,27
New York Jets,NYJ,9004,7,121,185,2286,437,154,244,1670,18,20,131,25,173,616,2,15,42,1,0,0,3,2,0,0,0,0,2,51,551,12,12,13,14,131,47,71,13,41,101,3,6,210:41,0,2242,467,138,246,1298,7,18,114,203,944,5,16,29
Oakland,OAK,9011,6,92,158,2249,405,128,182,1377,11,6,61,15,217,872,6,23,41,3,60,0,4,3,0,0,0,0,0,43,326,11,11,5,6,94,20,66,8,28,73,2,3,150:06,0,1696,330,130,214,1280,9,5,38,111,416,2,5,19
Philadelphia,PHI,9016,6,183,132,2285,431,137,232,1539,13,19,130,27,180,746,2,16,34,3,67,1,10,6,0,2,0,0,0,43,344,21,21,12,13,127,38,77,12,34,83,1,3,156:53,3,2270,410,141,237,1574,10,7,54,166,696,4,25,53
Pittsburgh,PIT,9008,7,154,162,2415,418,141,229,1624,10,10,74,27,179,791,6,17,37,4,65,1,4,5,0,1,0,0,0,63,517,16,16,14,15,152,41,95,16,38,95,3,5,226:41,2,2707,468,169,255,1807,11,20,96,193,900,3,17,41
San Diego,SD,9012,7,184,114,2215,414,143,233,1467,11,15,108,28,166,748,3,12,35,4,52,0,6,5,0,0,1,0,0,41,386,20,20,14,14,144,36,92,16,53,103,0,2,228:22,0,2520,448,155,231,1895,17,11,66,206,625,3,24,58
Seattle,SEA,9013,6,159,141,1947,374,142,208,1434,12,7,48,24,159,513,3,17,46,2,73,0,4,3,0,0,1,0,1,51,390,17,17,11,12,119,47,62,10,30,75,2,4,178:50,0,2142,360,116,176,1222,10,14,86,170,920,7,9,22
San Francisco,SF,9027,7,158,165,2142,409,145,247,1548,13,12,70,38,150,594,5,12,23,7,70,1,6,4,0,1,0,0,0,59,480,17,17,13,16,139,41,83,15,43,99,4,8,233:47,2,2499,462,146,233,1626,12,19,131,210,873,3,25,44
St. Louis,STL,9025,6,129,176,2274,365,120,178,1404,11,4,25,18,183,870,5,28,72,3,25,1,3,4,0,0,0,0,0,46,445,15,15,8,10,127,35,85,7,33,75,2,4,188:35,1,2155,390,144,219,1523,9,16,96,155,632,4,11,24
Tampa Bay,TB,9023,6,120,204,2537,416,156,218,1767,15,9,56,21,189,770,7,25,51,4,60,2,6,6,0,0,0,0,0,47,361,15,15,5,7,108,32,62,14,25,67,1,4,160:39,2,1841,349,124,211,1302,9,14,104,124,539,4,14,33
Tennessee,TEN,9007,7,121,172,2601,477,158,242,1735,12,18,114,35,217,866,6,16,31,8,66,0,2,3,0,0,0,0,0,57,519,13,13,10,12,125,40,69,16,26,83,2,5,196:00,0,2242,404,126,215,1469,9,18,76,171,773,4,9,13
Washington,WAS,9018,7,151,183,2253,428,146,224,1530,15,16,105,16,188,723,3,13,31,3,14,0,4,3,0,0,0,0,0,55,530,17,17,11,12,147,36,92,19,26,82,2,5,207:00,0,2720,439,168,256,2030,11,14,113,169,690,6,15,40
