Arizona,ARI,9017,4,86,86,1517,265,107,159,1210,8,4,29,17,102,307,3,15,27,5,39,0,0,2,0,0,0,0,3,20,145,5,8,11,11,76,16,42,18,22,55,1,1,111:43,0,1222,243,69,134,868,5,9,56,100,354,2,8,16
Atlanta,ATL,9024,5,151,143,2036,335,105,162,1298,5,4,33,19,169,738,10,9,20,2,23,1,3,7,0,0,0,0,0,35,333,19,19,6,7,116,30,78,8,29,62,2,4,146:25,1,2173,330,133,201,1596,11,6,47,123,577,6,10,20
Baltimore,BAL,9030,5,116,80,1803,318,118,183,1346,4,5,42,30,130,457,3,13,44,3,34,0,4,5,0,0,0,0,1,21,172,12,12,11,13,114,40,59,15,28,65,3,7,147:14,0,1864,332,119,191,1236,7,7,54,134,628,5,11,23
Buffalo,BUF,9000,5,96,89,1624,326,126,191,1269,7,17,76,25,118,355,0,16,36,6,69,0,4,4,0,0,0,1,1,45,372,8,8,13,15,82,21,54,7,25,73,0,2,149:04,0,1626,316,106,175,1088,6,8,58,133,538,1,12,36
Carolina,CAR,9028,5,104,120,1842,313,121,180,1194,10,12,92,23,121,648,4,13,24,5,63,0,6,5,0,0,0,1,2,27,294,10,11,9,10,101,18,73,10,28,66,2,2,146:29,0,1632,311,114,178,1258,8,13,106,120,374,2,14,31
Chicago,CHI,9019,5,116,131,1812,304,104,162,1232,9,11,62,20,131,580,4,10,20,7,103,1,6,4,0,0,0,0,0,39,322,14,14,6,7,115,33,65,17,27,60,2,4,158:20,1,1743,323,131,192,1231,12,12,73,119,512,1,13,20
Cincinnati,CIN,9005,4,97,76,1563,296,99,175,1003,4,8,50,28,113,560,3,3,8,6,42,0,1,1,0,0,1,1,1,22,187,10,10,8,13,79,29,39,11,13,44,0,2,113:17,0,1472,238,76,117,1028,5,1,8,120,444,5,7,17
Cleveland,CLE,9006,4,103,105,1687,265,91,138,1077,7,8,40,12,119,610,5,7,18,3,79,1,0,1,0,0,1,0,1,31,253,11,12,6,8,92,32,52,8,18,50,2,4,114:05,1,1548,265,83,134,982,6,5,33,126,566,5,16,50
Dallas,DAL,9014,5,135,103,1846,290,112,168,1239,8,5,17,28,117,607,3,6,7,6,24,1,3,3,0,0,0,0,0,30,218,15,15,10,11,119,44,64,11,35,63,1,1,170:37,1,1991,331,110,159,1191,9,9,69,163,800,5,17,39
Denver,DEN,9009,4,116,87,1387,276,98,164,1034,5,11,65,26,101,353,5,11,20,3,30,0,3,0,0,0,1,1,1,29,235,14,14,5,6,87,18,63,6,23,54,1,1,119:09,0,1586,261,105,158,1268,12,4,25,99,318,2,13,23
