Arizona,ARI,9017,10,336,216,3222,618,212,364,2287,16,19,130,46,235,935,7,36,88,14,213,3,8,5,0,0,2,0,0,63,484,38,40,18,20,233,56,148,29,55,119,3,5,312:38,3,4173,639,218,343,2976,27,16,100,280,1197,9,29,58
Atlanta,ATL,9024,10,250,214,3357,626,241,368,2483,13,12,52,38,246,874,11,27,74,12,136,1,6,5,0,2,0,1,3,69,684,27,29,14,18,233,67,147,19,66,145,9,14,332:52,3,3995,694,264,403,2870,15,18,112,273,1125,11,24,64
Baltimore,BAL,9030,10,226,249,3535,646,227,359,2570,19,25,160,47,262,965,6,25,46,4,52,1,3,5,0,1,0,1,3,78,751,21,23,22,28,206,67,123,16,50,139,9,15,305:31,2,3643,678,267,414,2664,14,16,124,248,979,7,31,64
Buffalo,BUF,9000,10,244,227,3502,648,229,396,2540,18,15,78,59,237,962,7,14,24,11,213,2,5,6,0,1,1,1,3,95,852,25,29,14,17,181,71,97,13,47,136,4,9,305:34,3,3403,625,197,297,2028,14,29,206,299,1375,12,42,95
Carolina,CAR,9028,10,299,191,3228,676,236,404,2283,12,31,179,60,241,945,7,27,49,15,160,2,13,10,0,0,0,0,0,63,526,32,34,21,25,217,83,120,14,49,130,4,6,322:29,2,3542,668,174,306,2143,20,20,140,342,1399,11,33,95
Chicago,CHI,9019,10,214,251,3409,605,198,318,2172,19,20,136,30,267,1237,3,12,24,5,69,0,3,6,0,0,0,2,5,62,584,17,21,23,26,197,63,113,21,57,138,5,9,317:11,0,3521,651,215,343,2404,13,18,90,290,1117,8,22,38
Cincinnati,CIN,9005,10,266,186,3432,620,237,371,2428,15,28,179,53,221,1004,3,22,57,11,84,0,7,4,0,0,0,1,1,76,638,31,32,14,17,209,62,124,23,56,131,3,5,314:56,0,3757,644,218,335,2626,20,19,112,290,1131,12,23,51
Cleveland,CLE,9006,10,186,277,4073,658,208,339,2685,21,16,96,38,303,1388,9,29,71,6,60,1,12,9,0,0,0,2,4,83,743,16,20,16,16,182,38,124,20,63,144,4,12,308:35,1,3358,644,241,382,2602,16,36,228,226,756,2,33,92
Dallas,DAL,9014,10,190,228,3358,601,212,330,2311,11,19,152,39,252,1047,10,29,72,6,64,1,1,1,0,0,0,0,0,75,576,19,19,19,20,210,68,110,32,47,123,6,11,341:38,1,3434,628,217,318,2199,11,22,127,288,1235,6,25,59
Denver,DEN,9009,10,222,183,2843,643,208,342,1906,8,34,213,51,267,937,8,26,40,10,261,3,13,9,0,1,1,0,1,79,770,22,23,20,21,189,44,130,15,47,138,5,8,300:35,4,3374,637,227,373,2430,12,23,146,241,944,6,23,45
Detroit,DET,9020,10,185,274,3674,644,231,336,2506,16,24,153,36,284,1168,15,33,70,4,32,1,11,7,0,1,2,0,2,65,564,16,21,13,13,198,30,142,26,47,134,5,10,301:16,2,3364,645,261,412,2653,16,26,155,207,711,3,24,47
Green Bay,GB,9021,10,249,198,3686,657,214,362,2546,13,29,174,49,266,1140,9,35,84,11,115,1,7,3,0,0,0,3,4,67,556,27,28,17,19,193,58,110,25,46,126,5,8,293:50,1,3419,631,214,347,2323,23,24,159,260,1096,4,23,41
Houston,HOU,9031,10,208,228,3330,637,206,343,2198,17,27,181,55,267,1132,8,28,64,9,94,1,3,4,0,0,0,1,2,68,614,21,25,12,14,220,52,146,22,60,159,4,13,293:58,1,3575,727,241,430,2667,20,21,126,276,908,4,29,64
Indianapolis,IND,9001,10,224,248,3923,682,236,387,2789,19,14,78,47,281,1134,9,36,78,13,166,3,6,3,0,0,0,1,2,69,546,25,27,12,14,206,51,125,30,63,147,5,8,305:30,3,3459,676,233,401,2474,20,20,115,255,985,4,21,46
Jacksonville,JAC,9029,10,211,268,3575,679,249,375,2628,17,23,165,48,281,947,9,32,86,5,49,1,11,7,0,1,0,0,1,68,614,19,23,18,22,196,42,131,23,48,138,4,7,289:41,2,3401,655,218,387,2447,20,32,176,236,954,1,24,60
Kansas City,KC,9010,10,257,198,3274,638,213,368,2348,17,29,192,62,241,926,5,19,42,14,171,2,5,4,0,1,0,1,2,61,536,25,27,23,28,195,70,104,21,46,129,4,6,314:32,3,3451,628,209,326,2242,10,34,188,268,1209,14,19,44
Miami,MIA,9002,10,205,249,3898,686,213,338,2512,19,22,163,38,326,1386,8,42,103,9,117,2,7,2,0,0,0,1,1,83,676,24,26,8,10,192,49,122,21,32,115,2,13,272:53,2,3362,599,228,361,2367,17,30,298,208,995,6,18,38
