Arizona,ARI,9017,16,489,313,5147,982,343,573,3687,24,36,270,69,373,1460,9,54,149,19,263,4,19,14,0,2,2,0,0,94,758,53,58,28,31,373,92,237,44,93,198,4,9,512:58,6,6533,1042,353,563,4616,35,27,159,452,1917,16,47,96
Atlanta,ATL,9024,16,339,345,5562,996,370,561,3882,19,19,117,62,416,1680,20,35,93,15,220,1,11,8,0,2,0,1,3,100,969,35,37,25,31,359,95,230,34,107,227,10,19,517:15,3,5985,1073,410,621,4379,21,32,223,420,1606,13,48,126
Baltimore,BAL,9030,16,328,401,5393,999,350,545,3737,30,37,220,66,417,1656,10,41,71,6,51,1,7,8,0,1,0,1,4,122,1153,30,33,33,40,323,89,211,23,85,226,12,24,488:41,2,5749,1083,426,676,4271,21,24,178,383,1478,8,42,90
Buffalo,BUF,9000,16,379,359,5702,1017,348,603,3974,30,21,125,94,393,1728,10,25,50,17,253,2,5,8,0,1,1,2,5,143,1249,36,45,23,27,297,122,155,20,86,227,7,16,500:54,3,5775,1016,295,465,3343,23,42,257,509,2432,19,58,133
Carolina,CAR,9028,16,500,308,5167,1058,390,650,3752,21,44,302,84,364,1415,11,43,96,24,301,4,20,15,0,0,0,0,0,103,887,56,59,30,36,357,136,197,24,86,203,6,10,512:51,4,5871,1061,300,502,3589,35,33,284,526,2282,19,44,126
Chicago,CHI,9019,16,335,397,5527,980,322,512,3593,31,35,237,52,433,1934,9,24,48,8,103,0,6,9,0,0,0,2,5,99,909,30,34,33,39,312,108,177,27,93,219,6,10,503:48,0,5514,1025,334,523,3660,21,34,183,468,1854,13,31,60
Cincinnati,CIN,9005,16,419,279,5453,1032,415,646,3976,18,42,288,88,344,1477,8,35,99,21,202,1,10,7,0,0,0,1,1,111,917,49,50,23,28,323,98,191,34,81,201,6,11,499:28,1,5723,1003,334,505,3923,31,32,181,466,1800,18,35,71
Cleveland,CLE,9006,16,278,432,6067,998,322,511,4012,34,29,157,54,458,2055,11,39,87,11,210,2,14,10,0,0,0,2,4,120,1083,24,28,28,32,307,81,192,34,95,227,10,24,496:14,2,5311,1042,371,609,3782,20,53,374,380,1529,5,47,131
Dallas,DAL,9014,16,275,374,5570,998,330,506,3636,19,31,229,53,461,1934,16,55,123,8,62,1,5,3,0,0,1,1,1,112,879,26,26,30,32,307,94,175,38,66,191,8,16,498:04,1,5360,969,334,528,3472,16,33,206,408,1888,8,39,95
Denver,DEN,9009,16,355,296,4530,1033,344,573,3193,19,52,351,84,408,1337,10,35,62,14,321,4,19,13,0,1,1,0,1,115,1063,35,37,30,35,314,85,201,28,79,224,7,14,488:03,5,5688,1056,368,606,3970,19,39,246,411,1718,13,40,81
Detroit,DET,9020,16,358,400,5594,999,361,529,3787,27,43,279,62,427,1807,18,53,112,9,103,1,17,9,0,1,2,0,3,104,930,36,42,22,24,337,71,236,30,75,203,7,14,503:57,2,5547,1030,420,632,4212,33,44,251,354,1335,7,38,76
Green Bay,GB,9021,16,368,323,5547,1014,321,551,3642,20,43,256,72,420,1905,13,53,124,16,198,2,10,6,0,0,0,4,6,105,906,40,42,24,28,317,100,173,44,70,208,11,21,482:14,2,5353,1056,348,573,3503,31,47,322,436,1850,8,44,90
Houston,HOU,9031,16,339,313,4963,986,326,553,3366,24,45,311,90,388,1597,10,44,89,14,180,2,9,11,0,1,0,2,3,107,910,34,39,23,27,335,90,210,35,96,249,6,19,492:46,3,5564,1127,358,619,3833,29,36,246,472,1731,7,41,85
Indianapolis,IND,9001,16,333,408,6066,1072,354,585,4114,29,35,251,76,452,1952,14,52,108,17,196,4,12,8,0,1,1,1,2,108,931,33,37,25,27,311,77,195,39,94,235,7,13,482:25,5,5142,1052,355,619,3704,26,37,224,396,1438,6,37,84
Jacksonville,JAC,9029,16,376,448,6000,1102,390,602,4291,29,36,237,72,464,1709,15,55,141,9,120,1,14,9,0,2,0,1,5,105,880,33,44,26,30,313,69,215,29,72,205,8,15,445:53,3,5581,1012,355,607,4108,35,51,320,354,1473,5,29,68
Kansas City,KC,9010,16,405,287,5269,1037,349,607,3698,25,47,290,92,383,1571,7,32,67,22,477,4,13,7,0,2,1,2,4,104,878,41,45,30,37,303,116,155,32,76,199,6,9,494:34,6,5299,955,310,473,3255,20,46,238,436,2044,19,38,85
Miami,MIA,9002,16,310,389,6019,1076,350,542,4000,31,31,225,71,503,2019,13,65,157,13,184,3,8,3,0,0,0,2,3,134,1090,35,39,13,16,291,72,194,25,63,205,8,22,437:58,3,5307,977,366,589,3813,24,45,420,343,1494,11,34,74
Minnesota,MIN,9022,16,365,302,5507,1015,359,561,3759,24,43,283,65,411,1748,7,36,86,13,215,2,10,9,0,1,0,1,1,88,797,34,38,34,39,297,113,153,31,76,199,5,11,488:57,3,5139,973,294,454,2928,14,45,318,474,2211,18,57,129
New England,NE,9003,16,465,315,5430,1042,361,596,3852,24,49,358,83,397,1578,8,41,86,12,176,0,20,9,0,2,1,0,0,96,923,52,52,33,36,347,87,229,31,88,215,9,15,484:40,2,5991,1050,404,629,4587,36,38,225,383,1404,14,30,70
New Orleans,NO,9026,16,408,476,6615,996,372,544,4544,45,31,211,68,421,2071,12,34,78,9,87,0,15,13,0,1,0,1,4,130,1112,45,50,18,26,381,98,247,36,104,218,10,16,501:38,1,6461,1096,460,667,4970,32,32,235,397,1491,16,39,90
New York Giants,NYG,9015,16,420,442,6725,1105,423,638,4783,31,23,137,87,444,1942,15,37,77,15,206,2,17,13,0,2,1,1,2,102,779,45,47,30,32,331,77,208,46,82,217,9,16,455:44,4,5956,1053,392,623,4347,36,27,157,403,1609,5,38,79
