Arizona,ARI,9017,15,483,277,4793,913,321,541,3478,21,35,254,66,337,1315,8,51,137,19,263,4,19,14,0,2,2,0,0,88,715,53,57,28,30,357,92,224,41,88,186,4,8,489:35,6,6301,984,333,520,4411,34,25,151,439,1890,16,46,95
Atlanta,ATL,9024,15,322,325,5172,931,338,518,3559,18,19,117,57,394,1613,19,33,87,15,220,1,10,7,0,2,0,1,3,96,937,33,35,24,29,334,90,212,32,99,215,10,19,486:49,3,5571,1010,386,585,4052,19,31,216,394,1519,13,44,114
Baltimore,BAL,9030,15,312,377,5101,942,333,518,3590,28,34,207,64,390,1511,9,39,69,6,51,1,6,8,0,1,0,1,4,118,1115,29,32,30,37,301,87,193,21,73,206,12,22,459:28,2,5408,1005,396,620,3989,20,23,168,362,1419,8,40,84
Buffalo,BUF,9000,15,357,342,5402,962,332,566,3796,28,20,122,84,376,1606,10,24,48,14,250,2,5,8,0,1,1,2,5,139,1204,35,43,20,24,279,117,145,17,77,207,5,14,461:41,3,5480,943,277,437,3161,23,40,257,466,2319,17,52,121
Carolina,CAR,9028,15,462,298,4781,987,361,603,3443,21,42,286,78,342,1338,10,39,82,22,255,4,20,14,0,0,0,0,0,96,854,51,54,29,35,334,126,185,23,79,193,6,10,481:01,4,5505,999,279,476,3334,33,29,246,494,2171,16,43,124
Chicago,CHI,9019,15,315,373,5178,916,294,473,3311,28,31,221,50,412,1867,9,24,48,8,103,0,6,9,0,0,0,2,5,98,894,28,32,31,37,296,102,167,27,86,207,6,10,476:18,0,5172,973,317,500,3429,19,29,169,444,1743,13,30,59
Cincinnati,CIN,9005,15,395,263,5112,954,385,590,3694,17,41,278,81,323,1418,8,33,93,19,188,1,10,7,0,0,0,1,1,100,845,46,47,22,27,306,93,180,33,81,192,5,10,468:41,1,5431,946,317,478,3776,29,29,168,439,1655,17,33,69
Cleveland,CLE,9006,15,266,404,5688,943,298,475,3663,31,29,157,50,439,2025,11,37,83,9,160,2,13,9,0,0,0,2,4,112,1036,24,28,24,28,285,76,180,29,91,211,9,20,462:17,2,5048,966,347,563,3605,20,46,311,357,1443,5,45,128
Dallas,DAL,9014,15,252,340,5133,935,311,480,3345,15,30,216,51,425,1788,16,52,119,8,62,1,3,3,0,0,0,1,1,108,835,23,23,30,32,280,89,153,38,64,181,7,15,472:02,1,4848,901,301,480,3060,13,29,183,392,1788,8,39,95
Denver,DEN,9009,15,328,276,4213,966,323,538,2986,17,49,330,77,379,1227,10,32,58,13,299,4,18,13,0,1,1,0,1,109,1028,32,34,28,33,293,74,191,28,74,213,7,14,462:35,5,5185,991,349,575,3677,18,37,238,379,1508,11,37,77
