"Barden, Ramses","11085           ","NYG","9015","WR","6","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","7","5     ","64  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Barnidge, Gary","2890            ","CAR","9028","TE","16","3","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","9","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bartel, Richard","3219           ","ARI","9017","QB","4","0","16   ","28 ","150 ","1 ","0 ","0","2","12","0      ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Barth, Connor","3203             ","TB ","9023","PK","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","36","36","0","23     ","28 ","2","6","10","6","1","0"
"Baskett, Hank","2701             ","MIN","9022","WR","8","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","4","1     ","18  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Batch, Charlie","1510            ","PIT","9008","QB","4","2","29   ","49 ","352 ","3 ","3 ","0","4","21","7      ","30  ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Battle, Arnaz","2313             ","PIT","9008","WR","15","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","2","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Battle, Jackie","2875            ","KC ","9010","RB","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","20      ","50  ","1 ","0","3","1     ","9   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Beck, John","2765                ","WAS","9018","QB","2","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Beckum, Travis","11100           ","NYG","9015","TE","16","3","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","18","13   ","116 ","2 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bell, Joique","11754             ","IND","9001","RB","8","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bell, Khalil","11349             ","CHI","9019","RB","1","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bell, Mike S.","2683             ","CLE","9006","RB","16","1","0   ","0  ","0   ","0 ","0 ","0","0","0","47      ","99  ","0 ","0","10","7    ","67  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Benn, Arrelious","11449          ","TB ","9023","WR","15","9","0   ","0  ","0   ","0 ","0 ","0","0","0","6       ","35  ","0 ","0","38","25   ","395 ","2 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bennett, Earl","2891             ","CHI","9019","WR","14","3","0   ","0  ","0   ","0 ","0 ","0","0","0","2       ","9   ","0 ","0","70","46   ","561 ","3 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
