"Abdullah, Ameer",14773,DET,DET,9020,RB,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adams, Davante",14060,GB,GB,9021,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,87,58,730,7,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Josh",16767,PHI,PHI,9016,RB,4,0,0,0,0,0,0,0,0,20,107,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agholor, Nelson",14774,PHI,PHI,9016,WR,8,1,1,15,0,0,0,0,0,3,32,0,0,61,41,372,1,0,0,0,0,0,0,0,0,0,0,0,0
"Agnew, Jamal",16037,DET,DET,9020,CB,1,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aiken, Kamar",12226,PHI,PHI,9016,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajayi, Jay",14775,PHI,PHI,9016,RB,4,0,0,0,0,0,0,0,0,45,184,3,1,6,5,20,0,0,0,0,0,0,0,0,0,0,0,0,1
"Akins, Jordan",16433,HOU,HOU,9031,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,11,9,89,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Moe",16768,IND,IND,9001,TE,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,84,1,0,0,0,0,0,0,0,0,0,0,0,0
"Allen, Dwayne",12338,NE,NE,9003,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allen, Javorius",15480,BAL,BAL,9030,RB,9,0,0,0,0,0,0,0,0,39,106,3,0,43,35,196,2,0,0,0,0,0,0,0,0,0,0,0,1
"Allen, Josh",16361,BUF,BUF,9000,QB,6,75,139,832,5,2,0,21,167,35,155,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Allen, Keenan",13076,LAC,LAC,9012,WR,8,0,0,0,0,0,0,1,7,7,74,0,0,66,47,630,1,0,0,0,0,0,0,0,0,0,0,0,1
"Allison, Geronimo",15853,GB,GB,9021,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,30,20,303,2,0,0,0,0,0,0,0,0,0,0,0,0
"Amendola, Danny",11321,MIA,MIA,9002,WR,9,1,1,28,0,1,0,0,0,0,0,0,0,51,40,384,1,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, C.J.",13080,CAR,CAR,9028,RB,6,0,0,0,0,0,0,0,0,22,105,0,0,3,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, Derek",2534,BUF,BUF,9000,QB,2,42,70,465,4,0,0,5,33,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Anderson, Robby",15717,NYJ,NYJ,9004,WR,8,0,0,0,0,0,0,0,0,2,-8,0,0,42,21,346,3,0,0,0,0,0,0,0,0,0,0,0,2
"Andrews, Mark",16425,BAL,BAL,9030,TE,9,0,0,0,0,0,0,0,0,0,0,0,0,32,21,244,2,0,0,0,0,0,0,0,0,0,0,0,0
"Anger, Bryan",12344,TB,TB,9023,P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armah, Alex",16129,CAR,CAR,9028,RB,5,0,0,0,0,0,0,0,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnold, Dan",16130,NO,NO,9026,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auclair, Antony",16131,TB,TB,9023,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin, Tavon",13088,DAL,DAL,9014,WR,6,0,0,0,0,0,0,0,0,6,55,0,0,10,7,130,2,0,0,0,0,0,0,0,0,0,0,0,0
"Badgley, Mike",16782,LAC,LAC,9012,K,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0,2,0,1,0,0
"Bailey, Dan",12149,MIN,MIN,9022,PK,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,12,15,0,3,5,3,1,0
