Arizona,ARI,9017,11,155,293,4011,743,243,352,2418,16,37,244,39,354,1593,16,44,95,6,30,0,11,7,108,2,0,1,2,68,505,19,20,5,8,154,50,88,16,38,129,2,9,282:23,2,2557,598,187,327,1707,12,30,214,241,850,6,24,51
Atlanta,ATL,9024,11,280,307,4364,688,280,399,3003,25,21,142,50,268,1361,13,13,19,9,100,0,3,1,0,0,0,2,4,61,585,29,32,19,19,248,53,175,20,72,146,7,15,334:23,0,4400,708,315,441,3486,24,33,217,234,914,8,38,102
Baltimore,BAL,9030,11,271,198,3249,686,227,393,2236,15,32,193,62,261,1013,8,27,70,5,96,0,5,3,43,1,0,1,3,74,565,27,30,21,23,255,93,142,20,76,161,7,13,348:17,1,4118,783,266,435,2775,14,21,105,327,1343,14,19,58
Buffalo,BUF,9000,11,161,272,3355,676,227,357,2131,15,28,162,53,291,1224,12,42,100,10,106,0,15,7,0,0,1,0,1,87,752,15,16,16,17,178,65,90,23,46,153,5,12,335:15,0,3013,688,185,336,1758,6,34,242,318,1255,9,34,82
Carolina,CAR,9028,11,287,282,3921,676,263,393,2861,25,25,154,44,258,1060,8,41,115,11,52,0,9,4,0,1,0,2,5,59,502,30,36,13,15,240,79,145,16,49,121,5,9,331:55,1,4078,668,251,361,2556,22,20,156,287,1522,13,18,38
Chicago,CHI,9019,11,317,211,3477,703,269,421,2588,19,34,213,58,248,889,4,21,41,20,275,5,15,9,80,1,0,3,4,64,537,35,38,17,22,235,74,128,33,57,134,4,7,344:11,6,3843,689,238,359,2576,22,23,131,307,1267,10,34,83
Cincinnati,CIN,9005,11,276,347,4836,780,278,413,3214,25,24,105,55,343,1622,14,19,55,11,164,2,5,3,102,2,0,0,1,75,638,33,36,9,13,223,58,143,22,47,122,6,12,291:43,4,3665,645,249,402,2636,22,22,169,221,1029,10,27,68
Cleveland,CLE,9006,11,253,283,4569,790,286,461,3119,18,25,160,63,304,1450,15,37,83,14,93,0,13,13,84,0,1,4,9,83,630,22,31,13,18,220,70,126,24,53,156,7,15,338:48,0,3896,743,237,397,2480,19,35,235,311,1416,12,31,100
Dallas,DAL,9014,11,234,213,3642,676,253,366,2612,15,31,188,45,279,1030,7,33,77,7,134,0,8,6,21,0,0,1,1,60,508,23,24,22,26,211,84,111,16,55,145,8,13,338:16,0,3674,679,219,337,2195,13,38,232,304,1479,11,25,40
Denver,DEN,9009,11,252,252,4282,719,257,398,2928,20,33,213,60,288,1354,8,25,49,12,135,2,9,6,3,0,0,0,3,77,622,27,30,15,18,222,76,126,20,47,137,7,12,311:08,2,4027,681,246,392,2655,14,26,187,263,1372,14,19,36
Detroit,DET,9020,11,238,286,3910,635,227,328,2622,24,32,213,30,275,1288,8,17,32,4,77,1,5,6,20,0,0,0,4,65,605,22,26,20,23,230,62,148,20,53,141,9,14,345:04,1,3770,704,274,412,2655,17,32,200,260,1115,8,19,41
Green Bay,GB,9021,11,264,267,3907,705,232,363,2555,19,36,258,38,306,1352,10,17,31,6,78,0,5,6,0,0,0,1,2,73,685,26,29,21,27,224,70,143,11,50,135,4,12,332:07,0,4242,690,259,421,3072,20,36,254,233,1170,8,19,37
Houston,HOU,9031,11,273,222,3670,712,255,394,2605,19,34,245,56,284,1065,5,28,65,9,194,2,13,9,2,1,0,0,1,76,556,27,29,24,29,220,64,134,22,54,141,5,8,336:32,3,4104,710,220,334,2602,20,37,205,339,1502,6,36,82
Indianapolis,IND,9001,11,325,273,3963,702,272,379,2793,18,27,143,43,296,1170,8,38,77,11,155,0,12,9,38,0,0,4,5,81,649,36,39,17,21,252,67,160,25,75,148,6,11,322:17,0,4270,731,301,442,3028,32,11,86,278,1242,7,23,43
Jacksonville,JAC,9029,11,197,243,3522,664,205,341,2262,15,21,151,36,302,1260,10,26,51,8,60,1,3,3,12,0,1,0,2,80,751,18,21,17,19,213,66,132,15,71,164,6,12,336:51,1,3811,726,245,400,2555,14,31,177,295,1256,6,24,47
Kansas City,KC,9010,11,404,294,4562,765,296,468,3269,20,36,251,44,261,1293,13,16,36,11,159,2,12,6,2,1,0,0,1,97,813,47,51,17,18,267,72,168,27,55,116,6,7,323:01,3,4777,678,264,391,3503,37,20,125,267,1274,10,23,50
LA Chargers,LAC,9012,11,307,219,3683,669,237,372,2500,16,28,196,51,269,1183,6,24,58,11,205,1,3,3,24,0,0,3,5,81,679,28,37,18,22,238,75,148,15,45,119,5,6,342:48,1,4422,650,240,348,3005,26,20,122,282,1417,10,25,54
LA Rams,LAR,9025,11,389,282,4098,658,246,374,2779,25,29,238,46,255,1319,8,19,49,10,136,2,10,10,11,1,2,5,7,63,543,41,45,23,28,279,85,173,21,58,131,5,10,342:25,3,4935,723,259,383,3411,26,24,148,316,1524,15,25,59
Miami,MIA,9002,11,223,283,4378,698,242,361,2840,21,18,128,45,319,1538,9,27,58,17,222,1,8,5,0,0,0,1,1,71,629,24,25,16,17,177,49,110,18,46,137,7,10,316:07,1,3450,626,217,334,2278,18,28,225,264,1172,4,25,57
Minnesota,MIN,9022,11,265,246,3462,673,229,358,2432,14,36,254,44,279,1030,6,27,65,10,156,1,7,8,96,2,0,3,5,63,520,28,31,16,24,228,39,171,18,58,145,7,12,333:36,3,4053,715,318,447,3115,22,28,174,240,938,6,32,66
New England,NE,9003,11,307,249,4152,723,266,439,2967,22,17,129,51,267,1185,5,22,58,12,141,1,7,6,4,0,0,0,1,58,469,34,35,21,24,248,86,144,18,55,138,5,9,331:50,1,4270,734,265,405,2970,19,16,111,313,1300,13,15,29
New Orleans,NO,9026,11,409,256,3948,651,274,397,3143,21,30,189,51,224,805,10,27,76,10,259,1,12,7,110,0,0,3,4,59,620,46,48,22,23,282,99,159,24,59,126,11,12,364:44,1,4583,718,275,363,3119,29,11,80,344,1464,19,19,40
New York Giants,NYG,9015,11,237,288,4156,699,247,378,2775,15,14,97,50,307,1381,11,29,57,10,110,1,6,3,43,0,0,3,6,73,666,21,24,23,24,203,47,143,13,49,133,6,12,314:20,1,3864,661,278,402,2855,15,38,295,221,1009,8,27,62
New York Jets,NYJ,9004,11,221,281,4114,736,246,394,2704,19,22,180,61,320,1410,10,30,79,10,287,2,10,5,25,0,0,0,1,67,497,20,22,23,25,172,58,103,11,44,146,7,14,315:02,2,3332,669,202,368,2185,12,26,160,275,1147,7,33,89
Oakland,OAK,9011,11,187,327,4290,656,194,307,2625,25,10,65,53,339,1665,10,22,46,9,100,1,3,2,0,0,0,1,1,71,599,18,19,18,23,203,57,133,13,48,136,4,13,341:38,1,3721,682,264,387,2628,13,36,207,259,1093,5,21,42
