Arizona,ARI,9017,7,92,184,2675,490,161,233,1637,8,20,135,28,237,1038,12,28,64,6,30,0,9,6,108,2,0,0,1,46,316,11,12,3,5,90,30,49,11,18,78,1,6,174:14,2,1545,368,121,209,1093,5,19,127,140,452,5,17,30
Atlanta,ATL,9024,7,190,212,2936,456,196,278,2147,17,14,97,31,164,789,9,7,9,6,67,0,1,1,0,0,0,2,3,49,444,20,22,12,12,158,34,108,16,46,92,1,5,211:02,0,2807,447,192,270,2224,15,20,131,157,583,7,28,70
Baltimore,BAL,9030,7,176,101,1964,437,141,244,1333,8,27,167,40,166,631,3,20,54,5,96,0,4,2,0,0,0,0,2,49,396,17,20,13,15,171,52,105,14,50,108,6,9,226:26,0,2709,519,189,309,2037,11,13,59,197,672,9,15,40
Buffalo,BUF,9000,7,81,175,2246,438,157,235,1471,13,19,101,33,184,775,6,26,60,5,12,0,13,7,0,0,1,0,0,54,428,7,7,10,11,99,37,50,12,26,95,3,6,206:22,0,1638,417,106,201,906,3,26,186,190,732,4,20,49
Carolina,CAR,9028,6,142,131,2132,364,145,213,1562,11,16,88,24,135,570,4,20,59,7,18,0,6,3,0,1,0,2,3,36,301,14,17,8,8,132,45,79,8,27,69,3,5,179:35,1,2180,376,137,209,1362,11,10,65,157,818,5,12,23
Chicago,CHI,9019,6,170,134,2100,370,141,217,1575,14,19,113,24,134,525,0,9,20,11,146,2,10,6,0,0,0,0,0,34,271,20,20,10,12,139,46,74,19,37,79,3,6,195:47,2,2284,397,139,211,1500,13,14,94,172,784,5,14,39
Cincinnati,CIN,9005,7,184,203,3006,487,195,291,2105,15,15,71,39,181,901,7,10,22,6,67,1,5,3,102,2,0,0,1,47,412,22,23,8,10,149,35,97,17,32,77,2,3,197:41,3,2352,418,168,262,1748,15,14,113,142,604,5,17,42
Cleveland,CLE,9006,7,151,177,2895,524,174,295,1952,9,19,110,48,210,943,10,27,54,11,93,0,9,9,75,0,1,4,5,58,459,13,17,10,14,134,46,73,15,36,112,3,10,219:28,0,2502,503,149,271,1557,8,31,196,201,945,9,18,58
Dallas,DAL,9014,7,140,123,2196,429,152,221,1522,8,19,119,21,189,674,4,25,57,2,64,0,5,4,19,0,0,1,1,43,369,13,13,16,18,130,53,64,13,29,91,7,10,214:00,0,2240,423,128,206,1282,8,23,135,194,958,5,16,26
Denver,DEN,9009,7,165,164,2646,456,146,239,1609,10,22,151,40,195,1037,8,13,24,7,78,2,7,4,3,0,0,0,1,46,396,18,19,11,11,148,50,83,15,32,90,3,7,203:41,2,2635,443,162,255,1759,9,17,117,171,876,8,14,23
