Arizona,ARI,9017,2,39,48,633,139,49,78,475,4,5,33,10,56,158,1,9,22,2,97,1,1,0,0,0,0,0,1,12,96,3,4,4,6,41,6,29,6,12,30,1,2,55:29,1,697,132,46,84,569,2,5,31,43,128,1,2,4
Atlanta,ATL,9024,2,57,40,668,131,59,90,484,3,7,72,8,34,184,2,2,5,1,0,0,1,1,15,1,0,0,0,14,107,6,6,5,5,37,11,24,2,10,22,0,0,59:11,1,736,113,40,58,531,2,5,42,50,205,3,5,6
Baltimore,BAL,9030,2,44,10,607,124,36,73,437,1,8,33,17,43,170,0,4,14,8,102,0,2,2,0,0,0,0,0,18,130,5,5,3,4,41,15,21,5,10,25,0,0,67:24,0,605,128,34,51,312,3,3,26,74,293,2,11,21
Buffalo,BUF,9000,2,24,21,469,121,46,71,354,0,7,61,13,43,115,1,8,13,2,12,0,0,0,0,0,0,0,0,11,94,3,3,1,2,33,12,19,2,12,30,0,2,54:11,0,584,123,33,53,325,2,5,24,65,259,1,9,24
Carolina,CAR,9028,2,32,6,393,105,41,60,273,0,7,45,5,38,120,0,5,17,1,23,0,2,1,0,0,0,0,0,11,80,2,2,6,6,39,15,20,4,14,29,0,0,73:14,0,542,129,34,57,349,2,6,50,66,193,0,10,21
Chicago,CHI,9019,2,24,52,683,122,39,61,502,2,4,23,6,57,181,2,4,4,0,0,0,1,1,21,0,0,0,0,12,99,3,3,1,1,39,7,27,5,12,27,1,4,56:15,0,611,125,57,85,466,2,5,48,35,145,1,7,18
Cincinnati,CIN,9005,2,9,33,534,122,24,41,209,1,4,37,9,77,325,2,8,14,1,0,0,0,0,0,0,0,0,0,16,111,0,0,3,3,26,7,16,3,8,28,1,3,53:45,0,516,120,36,66,357,0,8,37,46,159,0,5,16
Cleveland,CLE,9006,2,28,45,627,122,49,70,456,4,3,24,9,49,171,1,6,12,2,30,0,2,1,7,0,0,1,1,15,126,3,3,2,2,40,9,24,7,5,24,3,4,57:46,0,623,128,40,72,473,2,10,49,46,150,1,4,15
Dallas,DAL,9014,2,36,45,613,126,51,70,400,4,5,51,4,51,213,1,4,8,2,25,0,2,1,6,0,0,0,0,13,119,3,3,5,5,38,10,24,4,11,29,2,5,60:24,0,660,137,54,89,491,3,3,15,45,169,0,4,18
Denver,DEN,9009,2,66,38,517,122,52,83,413,5,3,17,10,36,104,0,3,9,3,126,1,0,0,0,0,0,0,0,11,123,9,9,1,3,48,18,26,4,17,30,0,0,68:03,1,701,141,39,60,383,6,6,67,75,318,2,4,8
Detroit,DET,9020,2,59,33,578,122,49,80,471,2,6,36,17,36,107,1,4,9,4,101,1,3,1,16,0,0,0,3,16,150,5,8,2,2,31,8,22,1,15,31,0,2,66:07,1,624,125,44,62,404,6,4,10,59,220,0,10,20
Green Bay,GB,9021,2,40,43,589,106,33,55,358,1,6,52,7,45,231,2,7,13,0,0,0,1,1,0,0,0,0,1,18,140,4,5,2,2,50,12,34,4,14,28,3,3,70:36,0,737,142,61,92,594,3,7,60,43,143,2,2,3
Houston,HOU,9031,2,20,38,575,122,31,56,338,1,3,11,7,63,237,1,6,10,0,0,0,2,1,49,0,0,0,0,18,155,2,2,2,2,37,10,17,10,9,27,0,1,62:10,0,469,131,34,60,208,1,13,81,58,261,1,6,9
Indianapolis,IND,9001,2,22,62,762,129,41,66,616,2,5,34,7,58,146,2,4,15,1,32,0,1,1,0,0,0,0,0,12,90,1,2,3,4,28,9,17,2,8,28,0,1,58:44,0,491,119,31,58,340,0,8,55,53,151,2,9,28
Jacksonville,JAC,9029,2,45,44,593,133,34,63,321,2,11,58,11,59,272,3,4,5,2,69,0,3,3,53,1,0,0,1,20,188,3,5,4,5,39,13,21,5,9,25,1,1,59:19,1,590,121,31,55,336,2,2,12,64,254,2,4,4
Kansas City,KC,9010,2,69,47,777,143,41,82,546,2,9,54,11,52,231,3,6,18,1,-3,0,3,1,0,0,0,0,0,20,179,9,9,2,2,42,14,27,1,9,23,0,0,59:25,0,881,116,49,63,584,5,7,35,46,297,4,3,3
LA Chargers,LAC,9012,2,38,43,657,136,41,62,406,3,6,43,9,68,251,1,7,18,1,4,0,1,1,11,0,0,0,0,10,96,5,5,1,4,41,6,31,4,5,20,1,2,52:25,0,616,110,53,72,508,4,2,15,36,108,1,6,12
LA Rams,LAR,9025,2,66,36,610,117,29,48,306,1,6,52,9,63,304,3,7,18,2,68,2,3,1,0,0,1,0,0,14,125,7,7,5,5,33,9,22,2,10,26,1,1,58:06,2,705,113,37,55,545,2,3,20,55,160,3,3,13
Miami,MIA,9002,2,19,17,367,54,31,39,323,1,1,8,0,14,44,1,4,8,0,0,0,0,0,0,0,0,0,0,5,23,1,1,4,4,21,6,13,2,5,13,0,1,33:22,0,336,68,24,34,225,1,2,5,32,111,0,6,16
Minnesota,MIN,9022,2,38,45,679,128,50,72,517,3,3,17,4,53,162,0,2,3,0,0,0,0,0,0,0,0,0,0,16,181,2,4,4,4,37,10,22,5,14,29,0,3,56:54,0,707,123,47,70,487,3,3,26,50,220,1,7,20
New England,NE,9003,2,63,62,966,128,55,80,700,6,4,24,8,44,266,2,1,1,0,0,0,1,1,0,0,0,0,0,15,121,6,7,5,5,54,18,30,6,11,27,0,2,64:52,0,926,146,46,75,683,3,5,31,66,243,4,5,19
