Arizona,ARI,9017,3,56,76,906,184,62,96,649,6,6,42,10,82,257,3,13,38,2,97,1,1,0,0,0,0,0,1,18,146,5,6,5,8,63,8,44,11,20,48,1,3,91:44,1,1029,207,75,132,852,4,11,73,64,177,1,6,13
Atlanta,ATL,9024,3,87,66,992,197,84,135,737,4,9,83,16,53,255,2,5,11,1,0,0,1,1,15,1,0,0,0,22,175,9,9,8,8,63,20,39,4,14,31,0,0,91:46,1,1164,178,64,93,808,4,7,59,78,356,4,6,8
Baltimore,BAL,9030,3,51,54,1017,192,56,106,681,5,8,33,23,78,336,1,6,18,8,102,0,2,2,0,0,0,0,0,28,218,6,6,3,4,53,21,25,7,13,36,0,1,93:21,0,791,182,48,78,364,4,5,38,99,427,2,14,24
Buffalo,BUF,9000,3,50,37,835,187,70,111,609,0,10,65,22,66,226,2,9,16,4,27,0,1,0,0,0,0,0,0,19,163,5,5,5,6,49,16,30,3,18,46,0,2,84:37,0,856,186,53,79,522,4,9,40,98,334,1,12,34
Carolina,CAR,9028,3,45,40,755,162,63,89,486,3,8,52,6,65,269,1,9,26,1,23,0,2,1,0,0,0,0,0,12,130,3,3,8,8,57,26,27,4,21,43,0,0,102:05,0,830,188,53,90,505,2,10,78,88,325,1,10,21
Chicago,CHI,9019,3,47,69,965,181,61,100,714,3,7,46,13,74,251,3,4,4,0,0,0,2,3,21,0,0,0,0,22,172,5,5,2,3,57,20,31,6,16,39,1,4,90:14,0,917,187,72,107,550,3,7,65,73,367,3,13,34
Cincinnati,CIN,9005,3,33,60,878,187,52,83,489,4,10,70,10,94,389,2,9,16,2,75,1,0,0,0,0,0,0,0,23,179,3,3,4,5,47,13,29,5,12,40,1,3,88:02,1,817,180,57,93,548,2,11,58,76,269,0,11,29
Cleveland,CLE,9006,3,56,76,962,185,66,94,699,5,6,40,13,85,263,4,13,30,2,30,0,3,2,7,0,0,1,1,25,239,7,7,2,2,65,16,37,12,10,37,3,4,84:19,0,969,197,62,119,708,4,11,56,67,261,3,5,16
Dallas,DAL,9014,3,64,62,945,201,80,118,683,6,11,93,10,72,262,1,8,17,2,25,0,2,1,6,0,0,0,0,22,195,7,7,5,5,53,16,31,6,13,38,2,5,84:09,0,933,182,67,107,665,5,4,24,71,268,2,8,34
Denver,DEN,9009,3,82,64,789,185,72,109,610,7,7,33,13,69,179,0,6,19,3,126,1,0,0,0,0,0,0,0,21,202,10,10,4,6,69,25,36,8,23,44,0,2,97:37,1,1067,207,63,100,638,6,9,71,98,429,3,5,11
