Arizona,ARI,9017,8,139,201,2798,542,180,305,1994,14,18,115,33,219,804,7,27,69,8,177,1,3,1,47,0,0,0,1,54,438,13,14,12,18,157,28,107,22,43,115,4,9,241:56,1,2700,525,184,311,2089,11,24,156,190,611,3,23,44
Atlanta,ATL,9024,8,170,172,2574,508,175,274,1658,11,18,138,33,216,916,4,22,46,2,1,0,6,4,15,1,0,0,1,52,471,17,18,15,18,163,50,103,10,36,90,2,9,229:59,1,2976,482,177,270,2060,11,14,97,198,916,6,16,45
Baltimore,BAL,9030,9,190,171,2795,576,160,282,1662,11,22,143,45,272,1133,6,35,90,13,270,2,6,5,47,1,0,1,3,57,486,18,20,17,20,165,58,92,15,43,126,5,9,274:19,3,2579,588,197,308,1491,10,19,132,261,1088,4,30,60
Buffalo,BUF,9000,8,174,149,2757,518,193,302,2002,7,14,79,51,202,755,8,27,62,11,129,0,9,6,124,2,0,0,0,60,518,18,18,16,18,142,48,83,11,52,124,1,4,232:18,2,2430,512,154,236,1495,10,26,133,250,935,6,33,85
Carolina,CAR,9028,9,168,159,2467,503,183,282,1761,12,29,165,24,192,706,3,25,71,4,65,0,6,4,11,0,0,0,0,39,388,15,16,19,20,178,70,94,14,56,129,2,6,301:25,0,2818,586,181,294,1836,10,23,159,269,982,6,32,86
Chicago,CHI,9019,8,134,171,2496,500,170,262,1661,8,23,144,35,215,835,7,11,18,4,226,2,5,7,100,1,1,1,2,52,404,14,15,7,11,133,51,65,17,39,108,4,8,237:28,3,2301,484,133,222,1260,8,19,144,243,1041,5,40,108
Cincinnati,CIN,9005,8,129,158,2473,532,157,264,1541,10,22,127,28,246,932,3,24,59,5,110,2,2,1,0,0,0,0,0,55,501,15,15,8,10,126,34,78,14,32,96,2,5,224:23,2,2158,448,148,236,1580,11,24,159,188,578,2,28,72
Cleveland,CLE,9006,8,119,202,2508,508,179,260,1834,16,16,101,43,232,674,5,40,106,5,97,1,8,4,7,0,0,1,1,63,554,13,14,7,11,154,42,86,26,31,107,6,11,229:27,1,2410,517,167,307,1649,7,23,133,187,761,6,10,37
Dallas,DAL,9014,8,226,178,2597,505,193,294,1787,14,27,226,27,184,810,4,24,52,4,49,1,7,7,19,0,0,0,2,51,500,25,28,11,12,170,67,92,11,46,101,7,12,246:09,1,2964,517,164,261,1779,16,10,41,246,1185,11,19,58
Denver,DEN,9009,8,150,198,2246,473,149,249,1539,16,19,100,32,205,707,3,21,55,5,126,1,2,2,20,1,0,0,1,63,514,15,16,13,18,154,46,93,15,44,117,1,8,252:31,2,2618,533,173,289,1719,10,28,176,216,899,4,20,35
Detroit,DET,9020,8,206,186,2734,490,178,277,2015,10,16,108,40,197,719,8,19,45,10,192,3,8,6,21,0,0,1,4,47,440,19,22,18,21,153,30,111,12,45,113,0,6,250:57,3,2687,527,189,303,2048,14,26,164,198,639,3,33,77
Green Bay,GB,9021,8,181,191,2859,514,177,260,1915,11,13,107,30,241,944,8,34,73,6,49,1,7,8,64,0,0,0,2,53,432,19,23,8,10,165,47,99,19,41,101,7,10,227:00,1,2481,491,185,290,1692,14,27,182,174,789,8,9,14
Houston,HOU,9031,8,229,208,2713,484,161,256,1945,16,20,123,32,208,768,3,25,52,8,135,2,11,4,105,2,1,2,4,57,505,24,28,11,12,175,51,100,24,35,100,3,5,245:41,4,2860,532,152,261,1798,20,28,182,243,1062,4,20,36
Indianapolis,IND,9001,9,162,260,3542,582,190,317,2517,13,18,121,42,247,1025,10,19,47,7,127,1,7,6,32,0,1,0,1,58,501,13,16,17,18,154,51,89,14,49,129,0,6,272:48,1,2741,568,174,288,1853,7,36,225,244,888,8,32,79
