Arizona,ARI,9017,7,119,191,2469,469,156,254,1728,14,13,87,25,202,741,6,27,69,7,173,1,2,0,0,0,0,0,1,52,413,11,12,10,15,137,22,96,19,36,99,4,9,205:34,1,2332,452,169,281,1888,9,24,156,147,444,3,20,38
Atlanta,ATL,9024,7,153,152,2244,445,162,250,1529,11,17,130,27,178,715,2,19,32,2,1,0,4,2,15,1,0,0,1,44,401,15,16,14,17,146,47,90,9,32,78,2,6,202:51,1,2621,424,153,232,1758,9,12,86,180,863,6,16,45
Baltimore,BAL,9030,8,170,148,2538,524,141,254,1476,9,19,111,42,251,1062,5,33,86,12,248,2,6,5,47,1,0,1,3,51,447,16,18,15,18,141,54,73,14,37,110,2,5,241:57,3,2238,511,162,255,1223,8,17,123,239,1015,4,28,58
Buffalo,BUF,9000,7,153,115,2426,456,179,282,1865,6,13,76,49,161,561,5,21,49,11,129,0,9,6,124,2,0,0,0,49,419,15,15,16,18,121,45,70,6,46,108,1,3,205:48,2,2123,443,125,196,1251,8,19,92,228,872,5,29,76
Carolina,CAR,9028,8,148,142,2112,445,159,244,1459,10,27,154,20,174,653,3,25,71,3,25,0,6,4,11,0,0,0,0,34,359,13,14,17,18,158,58,88,12,52,116,1,4,268:33,0,2488,523,168,270,1707,10,22,151,231,781,4,29,72
Chicago,CHI,9019,8,134,171,2496,500,170,262,1661,8,23,144,35,215,835,7,11,18,4,226,2,5,7,100,1,1,1,2,52,404,14,15,7,11,133,51,65,17,39,108,4,8,237:28,3,2301,484,133,222,1260,8,19,144,243,1041,5,40,108
Cincinnati,CIN,9005,7,122,135,2065,454,133,226,1282,9,22,127,28,206,783,3,22,52,5,110,2,1,0,0,0,0,0,0,47,424,14,14,8,10,118,32,73,13,31,88,2,5,204:37,2,2010,411,138,218,1461,11,22,142,171,549,1,25,64
Cleveland,CLE,9006,8,119,202,2508,508,179,260,1834,16,16,101,43,232,674,5,40,106,5,97,1,8,4,7,0,0,1,1,63,554,13,14,7,11,154,42,86,26,31,107,6,11,229:27,1,2410,517,167,307,1649,7,23,133,187,761,6,10,37
Dallas,DAL,9014,7,198,161,2274,450,168,260,1532,12,25,218,24,165,742,4,22,46,3,46,1,7,7,19,0,0,0,2,46,435,21,24,11,12,146,57,79,10,39,89,7,12,214:52,1,2589,452,143,228,1535,14,9,36,215,1054,9,16,48
Denver,DEN,9009,7,127,147,1827,406,133,221,1317,12,17,88,28,168,510,0,16,43,5,126,1,1,1,1,0,0,0,1,49,409,13,14,10,15,140,45,81,14,41,104,0,7,222:25,1,2392,473,154,251,1528,9,25,159,197,864,4,15,28
Detroit,DET,9020,7,176,169,2423,432,152,239,1782,10,13,96,38,180,641,6,19,45,10,192,3,8,6,21,0,0,1,4,45,421,16,19,15,17,129,26,92,11,37,100,0,6,214:02,3,2270,460,163,270,1695,12,25,156,165,575,2,27,61
Green Bay,GB,9021,7,164,161,2442,447,151,227,1562,9,12,99,28,208,880,7,28,57,6,49,1,5,7,64,0,0,0,2,51,412,17,21,7,8,144,40,86,18,39,92,7,8,203:55,1,2170,433,159,252,1459,14,24,170,157,711,6,9,14
Houston,HOU,9031,7,215,188,2342,423,141,226,1666,14,17,94,29,180,676,3,22,48,8,135,2,10,3,71,1,1,2,4,50,431,22,26,11,11,156,45,89,22,31,86,3,4,216:40,3,2572,465,133,217,1604,19,26,157,222,968,4,20,36
Indianapolis,IND,9001,8,142,246,3254,515,171,273,2323,12,16,96,32,226,931,10,19,47,7,127,1,5,5,32,0,1,0,1,52,433,11,14,15,16,137,44,81,12,45,115,0,6,241:49,1,2370,507,154,258,1574,5,33,196,216,796,8,29,75
Jacksonville,JAC,9029,7,183,110,2102,456,137,235,1132,4,33,202,41,188,970,5,19,33,10,192,2,9,6,186,2,0,0,1,48,398,18,21,13,17,140,50,73,17,34,93,4,5,222:08,4,2531,448,115,199,1348,9,11,50,238,1183,8,17,39
Kansas City,KC,9010,8,236,180,3138,524,156,290,2089,14,18,96,41,216,1049,7,23,55,8,69,0,6,5,61,2,0,0,2,64,605,23,25,21,22,163,43,106,14,43,102,0,3,247:51,2,3023,483,179,260,2041,16,22,140,201,982,6,21,45
LA Chargers,LAC,9012,8,150,152,2696,521,173,262,1615,10,26,167,38,233,1081,5,24,62,5,39,0,8,4,11,0,0,0,1,61,473,18,19,6,11,154,33,101,20,35,97,3,6,218:26,0,2662,476,173,286,1951,13,11,77,179,711,5,23,47
LA Rams,LAR,9025,7,212,138,2297,435,134,226,1435,8,23,134,34,186,862,8,19,42,9,236,2,7,3,0,0,1,0,0,46,378,21,21,21,22,144,45,85,14,48,98,1,2,214:07,2,2584,446,135,224,1691,9,10,68,212,893,8,23,58
Miami,MIA,9002,8,92,152,2144,411,153,219,1476,11,15,91,17,177,668,4,16,41,2,21,0,4,4,38,1,0,0,0,49,348,8,10,8,9,118,27,74,17,26,88,2,10,207:39,1,1767,432,151,248,1232,9,16,127,168,535,0,30,65
Minnesota,MIN,9022,8,179,135,2257,491,175,279,1606,9,24,171,37,188,651,3,14,28,7,84,0,3,3,0,0,0,1,1,48,483,13,17,21,22,161,43,97,21,47,110,0,5,251:39,0,2868,526,181,277,1908,10,10,84,239,960,7,31,69
New England,NE,9003,8,216,179,3336,506,196,298,2364,16,16,110,33,192,972,5,11,18,6,56,0,4,3,0,0,1,1,1,59,543,21,22,20,23,197,49,124,24,51,111,3,5,250:35,0,3289,551,206,309,2417,16,21,124,221,872,6,16,43
New Orleans,NO,9026,7,191,145,2413,432,147,241,1571,9,19,133,43,172,842,5,20,51,9,100,2,9,2,8,1,0,0,0,47,417,20,21,15,18,145,44,93,8,32,84,4,6,219:45,3,2733,451,175,248,1902,11,7,49,196,831,7,12,27
New York Giants,NYG,9015,7,112,156,2656,481,161,266,1811,14,13,73,33,202,845,2,17,39,3,64,1,6,4,32,0,1,0,2,46,414,11,13,7,10,116,24,80,12,30,92,1,8,193:05,1,2075,426,167,260,1492,10,17,108,149,583,2,17,46
New York Jets,NYJ,9004,8,157,186,2891,525,167,276,1865,17,11,67,35,238,1026,5,23,55,9,145,0,3,4,0,0,0,0,1,63,596,16,17,13,17,130,31,86,13,43,111,4,6,245:23,0,2463,472,180,255,1697,12,25,174,192,766,5,18,25
Oakland,OAK,9011,8,169,190,2855,497,171,246,1892,11,12,71,24,239,963,6,22,39,0,0,0,4,5,0,0,0,0,0,49,449,19,20,10,12,146,34,97,15,36,94,4,11,219:39,0,2542,462,179,283,1838,13,13,81,166,704,7,18,42
Philadelphia,PHI,9016,8,232,156,2617,494,204,325,2054,13,22,150,49,147,563,4,31,61,9,78,1,4,5,20,1,0,3,3,58,543,22,25,19,22,172,56,97,19,54,113,5,6,268:58,2,2974,532,161,264,1940,19,22,123,246,1034,4,30,83
Pittsburgh,PIT,9008,8,167,131,2293,477,157,262,1440,6,26,189,41,189,853,6,23,74,7,38,0,5,4,5,0,1,0,1,54,496,15,16,18,20,161,51,93,17,39,103,1,3,257:40,0,2910,523,169,276,2039,10,10,67,237,871,5,22,49
Seattle,SEA,9013,7,175,132,2336,443,139,246,1512,9,17,104,33,180,824,5,19,47,8,181,2,4,5,41,1,0,1,2,66,534,18,20,12,13,141,35,94,12,44,102,3,5,213:36,3,2592,462,164,259,1909,15,16,99,187,683,2,22,52
San Francisco,SF,9027,8,133,219,3056,561,174,273,2002,14,17,107,30,271,1054,9,33,69,5,85,0,5,4,45,0,0,0,1,64,516,10,12,17,19,150,43,94,13,37,119,7,14,220:37,0,2456,524,177,315,1690,6,27,202,182,766,6,25,53
Tampa Bay,TB,9023,8,148,168,2705,464,172,254,1923,12,7,43,31,203,782,7,23,62,5,110,1,6,5,21,1,0,1,5,44,319,12,18,9,14,152,30,111,11,31,82,2,5,198:58,2,2636,445,174,279,2068,13,13,75,153,568,3,11,21
Tennessee,TEN,9007,7,158,173,2306,457,151,252,1605,13,11,75,33,194,701,3,14,26,7,91,0,6,3,6,0,0,0,0,43,409,14,14,20,22,127,40,72,15,32,92,1,2,213:38,0,2285,428,135,218,1413,5,13,50,197,872,9,21,50
Washington,WAS,9018,7,160,180,2258,428,141,226,1522,10,20,133,32,182,736,6,16,43,6,37,1,6,4,0,0,0,0,0,38,291,16,18,12,15,130,30,92,8,34,89,2,4,216:48,1,2500,435,161,237,1762,13,16,138,182,738,4,21,40
